#TSV
#============Begin of sheet============
@Sheet=双剑
层数	武器名称	是否可以携带随行猫	是否奇烈	怪物等级	刷怪模式	区域编号	第一波刷新时间点	刷新怪物1-1	属性修饰策略1-1	系数1-1	刷新怪物1-2	属性修饰策略1-2	系数1-2	第二波刷新时间点	刷新怪物2-1	属性修饰策略2-1	系数2-1	刷新怪物2-2	属性修饰策略2-2	系数2-2	第三波刷新时间点	刷新怪物3-1	属性修饰策略3-1	系数3-1	刷新怪物3-2	属性修饰策略3-2	系数3-2	第四波刷新时间点	刷新怪物4-1	属性修饰策略4-1	系数4-1	刷新怪物4-2	属性修饰策略4-2	系数4-2	第五波刷新时间点	刷新怪物5-1	属性修饰策略5-1	系数5-1	刷新怪物5-2	属性修饰策略5-2	系数5-2
42	斩斧	1	0		2	1	180	60090	42	1				99999999	60231	42	1																								
43	斩斧	1	0		5	1	1	60260	41	1																															
44	斩斧	1	0		2	1	180	60140	42	1				99999999	60190	42	1																								
45	斩斧	1	0		4	1	1	60170	42	1	60024	42	1																												
46	斩斧	1	0		2	1	180	60071	42	1				99999999	60211	42	1																								
47	斩斧	1	0		5	1	1	60261	41	1																															
48	斩斧	1	0		3	1	180	60080	43	1				180	60150	43	1				99999999	60191	43	1																	
49	斩斧	1	0		2	1	180	60100	42	1				99999999	60200	42	1																								
50	斩斧	1	0		5	1	1	60300	41	1																															
51	斩斧	1	0		5	1	1	60102	51	1																															
52	斩斧	1	0		2	1	180	60131	52	1				99999999	60232	52	1																								
53	斩斧	1	0		3	1	180	60100	53	1				180	60110	53	1				99999999	60231	53	1																	
54	斩斧	1	0		2	1	180	60141	52	1				99999999	60191	52	1																								
55	斩斧	1	0		5	1	1	60480	51	1																															
56	斩斧	1	0		2	1	180	60121	52	1				99999999	60280	52	1																								
57	斩斧	1	0		5	1	1	60481	51	1																															
58	斩斧	1	0		4	1	180	60012	52	1	60152	52	1																												
59	斩斧	1	0		2	1	180	60200	52	1				99999999	60201	52	1																								
60	斩斧	1	0		5	1	1	60420	57	1																															
61	斩斧	1	0	120	1	1	1	60870	61	1																															
62	斩斧	1	0	120	1	1	1	60280	63	1				1	60280	63	1																								
63	斩斧	1	0	120	1	1	1	60151	64	1																															
64	斩斧	1	0	120	1	1	1	60251	63	1				1	60211	63	1																								
65	斩斧	1	0	120	1	1	1	60900	61	1																															
66	斩斧	1	0	120	1	1	1	60480	63	1				1	60481	63	1																								
67	斩斧	1	0	120	1	1	1	60420	62	1				1	60420	62	1																								
68	斩斧	1	0	120	1	1	1	60390	63	1				1	60290	63	1																								
69	斩斧	1	0	120	1	1	1	60880	65	1																															
70	斩斧	1	0	120	1	1	1	60134	61	1																															
71	斩斧	1	0	150	1	1	1	60910	71	1																															
72	斩斧	1	0	150	4	1	1	60201	72	1	60201	72	1																												
73	斩斧	1	0	150	1	1	1	60491	71	1																															
74	斩斧	1	0	150	1	1	1	60212	71	1																															
75	斩斧	1	0	150	1	1	1	60391	71	1																															
76	斩斧	1	0	150	1	1	1	60630	71	1																															
77	斩斧	1	0	150	1	1	1	60218	71	1																															
78	斩斧	1	0	150	4	1	1	60260	73	1	60261	73	1																												
79	斩斧	1	0	150	1	1	1	60281	71	1																															
80	斩斧	1	0	150	1	1	1	60440	74	1																															
81	斩斧	1	0	150	1	1	1	60450	107	1																															
82	斩斧	1	0	150	4	1	1	60141	108	1	60143	108	1																												
83	斩斧	1	0	150	1	1	1	60441	109	1																															
84	斩斧	1	0	150	2	1	180	60280	110	1				99999999	60281	110	1																								
85	斩斧	1	0	150	2	1	180	60421	111	1				99999999	60421	111	1																								
86	斩斧	1	0	150	1	1	1	60470	112	1																															
87	斩斧	1	0	150	1	1	1	60910	113	1																															
88	斩斧	1	0	150	1	1	1	60871	113	1																															
89	斩斧	1	0	150	1	1	1	60440	113	1				1	60880	113	1																								
90	斩斧	1	0	150	1	1	1	60631	113	1																															
91	斩斧	1	0	150	1	1	1	60710	113	1																															
92	斩斧	1	0	150	1	1	1	60301	113	1																															
93	斩斧	1	0	150	1	1	1	60890	113	1																															
94	斩斧	1	0	150	1	1	1	60920	113	1																															
95	斩斧	1	0	150	1	1	1	60360	113	1																															
96	斩斧	1	0	150	1	1	1	60361	113	1																															
97	斩斧	1	0	150	1	1	1	60670	113	1																															
98	斩斧	1	0	150	1	1	1	60800	113	1																															
99	斩斧	1	0	150	4	1	1	60800	110	1	60800	110	1																												
#============End of sheet============

#============Begin of sheet============
@Sheet=片手
层数	武器名称	是否可以携带随行猫	是否奇烈	怪物等级	刷怪模式	区域编号	第一波刷新时间点	刷新怪物1-1	属性修饰策略1-1	系数1-1	刷新怪物1-2	属性修饰策略1-2	系数1-2	第二波刷新时间点	刷新怪物2-1	属性修饰策略2-1	系数2-1	刷新怪物2-2	属性修饰策略2-2	系数2-2	第三波刷新时间点	刷新怪物3-1	属性修饰策略3-1	系数3-1	刷新怪物3-2	属性修饰策略3-2	系数3-2	第四波刷新时间点	刷新怪物4-1	属性修饰策略4-1	系数4-1	刷新怪物4-2	属性修饰策略4-2	系数4-2	第五波刷新时间点	刷新怪物5-1	属性修饰策略5-1	系数5-1	刷新怪物5-2	属性修饰策略5-2	系数5-2
1	片手	1	0		1	1	1	60020	1	1																															
2	片手	1	0		1	1	1	60040	1	1																															
3	片手	1	0		1	1	1	60022	1	1																															
4	片手	1	0		1	1	1	60080	1	1																															
5	片手	1	0		1	1	1	60050	3	1				1	60051	4	1																								
6	片手	1	0		1	1	1	60011	1	1																															
7	片手	1	0		1	1	1	60070	1	1																															
8	片手	1	0		1	1	1	60110	1	1																															
9	片手	1	0		1	1	1	60090	1	1																															
10	片手	1	0		1	1	1	60024	3	1				1	60041	3	1																								
11	片手	1	0		1	1	1	60100	11	1																															
12	片手	1	0		1	1	1	60140	11	1																															
13	片手	1	0		1	1	1	60120	3	1																															
14	片手	1	0		1	1	1	60150	11	1																															
15	片手	1	0		1	1	1	60230	3	1				1	60071	3	1																								
16	片手	1	0		1	1	1	60081	11	1																															
17	片手	1	0		1	1	1	60121	11	1																															
18	片手	1	0		1	1	1	60232	11	1																															
19	片手	1	0		1	1	1	60152	11	1																															
20	片手	1	0		2	1	300	60170	3	1				99999999	60091	3	1																								
21	片手	1	0		2	1	180	60140	21	1				99999999	60020	21	1																								
22	片手	1	0		2	1	180	60070	21	1				99999999	60080	21	1																								
23	片手	1	0		2	1	180	60120	23	1				99999999	60024	21	1																								
24	片手	1	0		2	1	180	60100	21	1				99999999	60110	21	1																								
25	片手	1	0		3	1	210	60232	24	1				210	60150	24	1				99999999	60022	24	1																	
26	片手	1	0		2	1	180	60050	23	1				99999999	60071	21	1																								
27	片手	1	0		2	1	180	60051	23	1				99999999	60152	21	1																								
28	片手	1	0		2	1	180	60091	21	1				99999999	60121	21	1																								
29	片手	1	0		2	1	180	60100	21	1				99999999	60090	21	1																								
30	片手	1	0		5	1	1	60131	25	1																															
31	片手	1	0		5	1	1	60190	31	1																															
32	片手	1	0		5	1	1	60141	31	1																															
33	片手	1	0		5	1	1	60210	31	1																															
34	片手	1	0		5	1	1	60143	31	1																															
35	片手	1	0		5	1	1	60250	32	1																															
36	片手	1	0		5	1	1	60231	33	1																															
37	片手	1	0		5	1	1	60200	31	1																															
38	片手	1	0		5	1	1	60171	33	1																															
39	片手	1	0		5	1	1	60390	33	1																															
40	片手	1	0		5	1	1	60251	33	1																															
41	片手	1	0		1	1	1	60012	41	1																															
42	片手	1	0		2	1	180	60071	42	1				99999999	60190	42	1																								
43	片手	1	0		5	1	1	60260	41	1																															
44	片手	1	0		2	1	180	60080	42	1				99999999	60210	42	1																								
45	片手	1	0		4	1	1	60030	42	1	60152	42	1																												
46	片手	1	0		2	1	180	60140	42	1				99999999	60191	42	1																								
47	片手	1	0		5	1	1	60261	41	1																															
48	片手	1	0		3	1	180	60041	43	1				180	60091	43	1				99999999	60170	43	1																	
49	片手	1	0		2	1	180	60081	42	1				99999999	60143	42	1																								
50	片手	1	0		5	1	1	60300	41	1																															
51	片手	1	0		5	1	1	60102	51	1																															
52	片手	1	0		2	1	180	60130	52	1				99999999	60490	52	1																								
53	片手	1	0		3	1	180	60110	53	1				180	60090	53	1				99999999	60231	53	1																	
54	片手	1	0		2	1	180	60131	52	1				99999999	60250	52	1																								
55	片手	1	0		5	1	1	60480	51	1																															
56	片手	1	0		2	1	180	60152	52	1				99999999	60211	52	1																								
57	片手	1	0		5	1	1	60481	51	1																															
58	片手	1	0		4	1	180	60141	52	1	60232	52	1																												
59	片手	1	0		2	1	180	60201	52	1				99999999	60280	52	1																								
60	片手	1	0		5	1	1	60420	57	1																															
61	片手	1	0	120	1	1	1	60870	61	1																															
62	片手	1	0	120	1	1	1	60280	63	1				1	60280	63	1																								
63	片手	1	0	120	1	1	1	60151	64	1																															
64	片手	1	0	120	1	1	1	60251	63	1				1	60211	63	1																								
65	片手	1	0	120	1	1	1	60900	61	1																															
66	片手	1	0	120	1	1	1	60480	63	1				1	60481	63	1																								
67	片手	1	0	120	1	1	1	60420	62	1				1	60420	62	1																								
68	片手	1	0	120	1	1	1	60390	63	1				1	60290	63	1																								
69	片手	1	0	120	1	1	1	60880	65	1																															
70	片手	1	0	120	1	1	1	60134	61	1																															
71	片手	1	0	150	1	1	1	60910	71	1																															
72	片手	1	0	150	4	1	1	60201	72	1	60201	72	1																												
73	片手	1	0	150	1	1	1	60491	71	1																															
74	片手	1	0	150	1	1	1	60212	71	1																															
75	片手	1	0	150	1	1	1	60391	71	1																															
76	片手	1	0	150	1	1	1	60630	71	1																															
77	片手	1	0	150	1	1	1	60218	71	1																															
78	片手	1	0	150	4	1	1	60260	73	1	60261	73	1																												
79	片手	1	0	150	1	1	1	60281	71	1																															
80	片手	1	0	150	1	1	1	60440	74	1																															
81	片手	1	0	150	1	1	1	60450	107	1																															
82	片手	1	0	150	4	1	1	60141	108	1	60143	108	1																												
83	片手	1	0	150	1	1	1	60441	109	1																															
84	片手	1	0	150	2	1	180	60280	110	1				99999999	60281	110	1																								
85	片手	1	0	150	2	1	180	60421	111	1				99999999	60421	111	1																								
86	片手	1	0	150	1	1	1	60470	112	1																															
87	片手	1	0	150	1	1	1	60910	113	1																															
88	片手	1	0	150	1	1	1	60871	113	1																															
89	片手	1	0	150	1	1	1	60440	113	1				1	60880	113	1																								
90	片手	1	0	150	1	1	1	60631	113	1																															
91	片手	1	0	150	1	1	1	60710	113	1																															
92	片手	1	0	150	1	1	1	60301	113	1																															
93	片手	1	0	150	1	1	1	60890	113	1																															
94	片手	1	0	150	1	1	1	60920	113	1																															
95	片手	1	0	150	1	1	1	60360	113	1																															
96	片手	1	0	150	1	1	1	60361	113	1																															
97	片手	1	0	150	1	1	1	60670	113	1																															
98	片手	1	0	150	1	1	1	60800	113	1																															
99	片手	1	0	150	4	1	1	60800	110	1	60800	110	1																												
#============End of sheet============

#============Begin of sheet============
@Sheet=狩猎笛
层数	武器名称	是否可以携带随行猫	是否奇烈	怪物等级	刷怪模式	区域编号	第一波刷新时间点	刷新怪物1-1	属性修饰策略1-1	系数1-1	刷新怪物1-2	属性修饰策略1-2	系数1-2	第二波刷新时间点	刷新怪物2-1	属性修饰策略2-1	系数2-1	刷新怪物2-2	属性修饰策略2-2	系数2-2	第三波刷新时间点	刷新怪物3-1	属性修饰策略3-1	系数3-1	刷新怪物3-2	属性修饰策略3-2	系数3-2	第四波刷新时间点	刷新怪物4-1	属性修饰策略4-1	系数4-1	刷新怪物4-2	属性修饰策略4-2	系数4-2	第五波刷新时间点	刷新怪物5-1	属性修饰策略5-1	系数5-1	刷新怪物5-2	属性修饰策略5-2	系数5-2
1	狩猎笛	1	0		1	1	1	60040	1	1																															
2	狩猎笛	1	0		1	1	1	60060	1	1																															
3	狩猎笛	1	0		1	1	1	60030	3	1																															
4	狩猎笛	1	0		1	1	1	60010	1	1																															
5	狩猎笛	1	0		1	1	1	60050	3	1				1	60051	4	1																								
6	狩猎笛	1	0		1	1	1	60024	1	1																															
7	狩猎笛	1	0		1	1	1	60080	1	1																															
8	狩猎笛	1	0		1	1	1	60041	1	1																															
9	狩猎笛	1	0		1	1	1	60070	1	1																															
10	狩猎笛	1	0		1	1	1	60110	3	1				1	60011	3	1																								
11	狩猎笛	1	0		1	1	1	60071	11	1																															
12	狩猎笛	1	0		1	1	1	60120	3	1																															
13	狩猎笛	1	0		1	1	1	60100	11	1																															
14	狩猎笛	1	0		1	1	1	60230	11	1																															
15	狩猎笛	1	0		1	1	1	60232	3	1				1	60140	3	1																								
16	狩猎笛	1	0		1	1	1	60150	11	1																															
17	狩猎笛	1	0		1	1	1	60081	11	1																															
18	狩猎笛	1	0		1	1	1	60091	11	1																															
19	狩猎笛	1	0		1	1	1	60152	11	1																															
20	狩猎笛	1	0		2	1	300	60121	3	1				99999999	60170	3	1																								
21	狩猎笛	1	0		2	1	180	60070	21	1				99999999	60030	21	1																								
22	狩猎笛	1	0		2	1	180	60080	21	1				99999999	60040	21	1																								
23	狩猎笛	1	0		2	1	180	60090	21	1				99999999	60060	21	1																								
24	狩猎笛	1	0		2	1	180	60050	23	1				99999999	60140	21	1																								
25	狩猎笛	1	0		3	1	210	60230	24	1				210	60150	24	1				99999999	60071	24	1																	
26	狩猎笛	1	0		2	1	180	60100	21	1				99999999	60110	21	1																								
27	狩猎笛	1	0		2	1	180	60081	23	1				99999999	60051	23	1																								
28	狩猎笛	1	0		2	1	180	60170	21	1				99999999	60120	23	1																								
29	狩猎笛	1	0		2	1	180	60121	21	1				99999999	60091	21	1																								
30	狩猎笛	1	0		5	1	1	60200	22	1																															
31	狩猎笛	1	0		5	1	1	60260	31	1																															
32	狩猎笛	1	0		5	1	1	60190	31	1																															
33	狩猎笛	1	0		5	1	1	60210	31	1																															
34	狩猎笛	1	0		5	1	1	60143	31	1																															
35	狩猎笛	1	0		5	1	1	60261	32	1																															
36	狩猎笛	1	0		5	1	1	60231	31	1																															
37	狩猎笛	1	0		5	1	1	60211	31	1																															
38	狩猎笛	1	0		5	1	1	60171	33	1																															
39	狩猎笛	1	0		5	1	1	60390	33	1																															
40	狩猎笛	1	0		5	1	1	60251	33	1																															
41	狩猎笛	1	0		1	1	1	60012	45	1																															
42	狩猎笛	1	0		2	1	180	60150	46	1				99999999	60141	46	1																								
43	狩猎笛	1	0		5	1	1	60250	45	1																															
44	狩猎笛	1	0		2	1	180	60080	46	1				99999999	60210	46	1																								
45	狩猎笛	1	0		4	1	1	60120	46	1	60024	46	1																												
46	狩猎笛	1	0		2	1	180	60030	46	1				99999999	60211	46	1																								
47	狩猎笛	1	0		5	1	1	60251	45	1																															
48	狩猎笛	1	0		3	1	180	60140	47	1				180	60071	47	1				99999999	60191	47	1																	
49	狩猎笛	1	0		2	1	180	60100	46	1				99999999	60231	46	1																								
50	狩猎笛	1	0		5	1	1	60300	45	1																															
51	狩猎笛	1	0		5	1	1	60102	54	1																															
52	狩猎笛	1	0		2	1	180	60152	55	1				99999999	60261	55	1																								
53	狩猎笛	1	0		3	1	180	60081	56	1				180	60012	56	1				99999999	60390	56	1																	
54	狩猎笛	1	0		2	1	180	60100	55	1				99999999	60201	55	1																								
55	狩猎笛	1	0		5	1	1	60480	54	1																															
56	狩猎笛	1	0		2	1	180	60141	55	1				99999999	60143	55	1																								
57	狩猎笛	1	0		5	1	1	60481	54	1																															
58	狩猎笛	1	0		4	1	180	60011	55	1	60202	52	1																												
59	狩猎笛	1	0		2	1	180	60250	55	1				99999999	60280	55	1																								
60	狩猎笛	1	0		5	1	1	60420	58	1																															
61	狩猎笛	1	0	120	1	1	1	60870	61	1																															
62	狩猎笛	1	0	120	1	1	1	60280	63	1				1	60280	63	1																								
63	狩猎笛	1	0	120	1	1	1	60151	64	1																															
64	狩猎笛	1	0	120	1	1	1	60251	63	1				1	60211	63	1																								
65	狩猎笛	1	0	120	1	1	1	60900	61	1																															
66	狩猎笛	1	0	120	1	1	1	60480	63	1				1	60481	63	1																								
67	狩猎笛	1	0	120	1	1	1	60420	62	1				1	60420	62	1																								
68	狩猎笛	1	0	120	1	1	1	60390	63	1				1	60290	63	1																								
69	狩猎笛	1	0	120	1	1	1	60880	65	1																															
70	狩猎笛	1	0	120	1	1	1	60134	61	1																															
71	狩猎笛	1	0	150	1	1	1	60910	71	1																															
72	狩猎笛	1	0	150	4	1	1	60201	72	1	60201	72	1																												
73	狩猎笛	1	0	150	1	1	1	60491	71	1																															
74	狩猎笛	1	0	150	1	1	1	60212	71	1																															
75	狩猎笛	1	0	150	1	1	1	60391	71	1																															
76	狩猎笛	1	0	150	1	1	1	60630	71	1																															
77	狩猎笛	1	0	150	1	1	1	60218	71	1																															
78	狩猎笛	1	0	150	4	1	1	60260	73	1	60261	73	1																												
79	狩猎笛	1	0	150	1	1	1	60281	71	1																															
80	狩猎笛	1	0	150	1	1	1	60440	74	1																															
81	狩猎笛	1	0	150	1	1	1	60450	107	1																															
82	狩猎笛	1	0	150	4	1	1	60141	108	1	60143	108	1																												
83	狩猎笛	1	0	150	1	1	1	60441	109	1																															
84	狩猎笛	1	0	150	2	1	180	60280	110	1				99999999	60281	110	1																								
85	狩猎笛	1	0	150	2	1	180	60421	111	1				99999999	60421	111	1																								
86	狩猎笛	1	0	150	1	1	1	60470	112	1																															
87	狩猎笛	1	0	150	1	1	1	60910	113	1																															
88	狩猎笛	1	0	150	1	1	1	60871	113	1																															
89	狩猎笛	1	0	150	1	1	1	60440	113	1				1	60880	113	1																								
90	狩猎笛	1	0	150	1	1	1	60631	113	1																															
91	狩猎笛	1	0	150	1	1	1	60710	113	1																															
92	狩猎笛	1	0	150	1	1	1	60301	113	1																															
93	狩猎笛	1	0	150	1	1	1	60890	113	1																															
94	狩猎笛	1	0	150	1	1	1	60920	113	1																															
95	狩猎笛	1	0	150	1	1	1	60360	113	1																															
96	狩猎笛	1	0	150	1	1	1	60361	113	1																															
97	狩猎笛	1	0	150	1	1	1	60670	113	1																															
98	狩猎笛	1	0	150	1	1	1	60800	113	1																															
99	狩猎笛	1	0	150	4	1	1	60800	110	1	60800	110	1																												
#============End of sheet============

#============Begin of sheet============
@Sheet=铳枪
层数	武器名称	是否可以携带随行猫	是否奇烈	怪物等级	刷怪模式	区域编号	第一波刷新时间点	刷新怪物1-1	属性修饰策略1-1	系数1-1	刷新怪物1-2	属性修饰策略1-2	系数1-2	第二波刷新时间点	刷新怪物2-1	属性修饰策略2-1	系数2-1	刷新怪物2-2	属性修饰策略2-2	系数2-2	第三波刷新时间点	刷新怪物3-1	属性修饰策略3-1	系数3-1	刷新怪物3-2	属性修饰策略3-2	系数3-2	第四波刷新时间点	刷新怪物4-1	属性修饰策略4-1	系数4-1	刷新怪物4-2	属性修饰策略4-2	系数4-2	第五波刷新时间点	刷新怪物5-1	属性修饰策略5-1	系数5-1	刷新怪物5-2	属性修饰策略5-2	系数5-2
1	铳枪	1	0		1	1	1	60024	1	1																															
2	铳枪	1	0		1	1	1	60040	1	1																															
3	铳枪	1	0		1	1	1	60030	3	1																															
4	铳枪	1	0		1	1	1	60050	3	1																															
5	铳枪	1	0		1	1	1	60022	3	1				1	60080	3	1																								
6	铳枪	1	0		1	1	1	60110	1	1																															
7	铳枪	1	0		1	1	1	60011	1	1																															
8	铳枪	1	0		1	1	1	60090	1	1																															
9	铳枪	1	0		1	1	1	60041	1	1																															
10	铳枪	1	0		1	1	1	60051	4	1				1	60070	3	1																								
11	铳枪	1	0		1	1	1	60150	11	1																															
12	铳枪	1	0		1	1	1	60140	11	1																															
13	铳枪	1	0		1	1	1	60120	3	1																															
14	铳枪	1	0		1	1	1	60081	11	1																															
15	铳枪	1	0		1	1	1	60230	3	1				1	60232	3	1																								
16	铳枪	1	0		1	1	1	60100	11	1																															
17	铳枪	1	0		1	1	1	60152	11	1																															
18	铳枪	1	0		1	1	1	60091	11	1																															
19	铳枪	1	0		1	1	1	60130	11	1																															
20	铳枪	1	0		2	1	300	60121	3	1				99999999	60170	3	1																								
21	铳枪	1	0		2	1	180	60080	21	1				99999999	60030	21	1																								
22	铳枪	1	0		2	1	180	60150	21	1				99999999	60020	21	1																								
23	铳枪	1	0		2	1	180	60100	21	1				99999999	60090	21	1																								
24	铳枪	1	0		2	1	180	60120	23	1				99999999	60091	21	1																								
25	铳枪	1	0		3	1	210	60140	24	1				210	60081	24	1				99999999	60071	24	1																	
26	铳枪	1	0		2	1	180	60170	21	1				99999999	60024	21	1																								
27	铳枪	1	0		2	1	180	60230	21	1				99999999	60232	21	1																								
28	铳枪	1	0		2	1	180	60121	21	1				99999999	60041	21	1																								
29	铳枪	1	0		2	1	180	60152	21	1				99999999	60070	21	1																								
30	铳枪	1	0		5	1	1	60261	25	1																															
31	铳枪	1	0		5	1	1	60143	31	1																															
32	铳枪	1	0		5	1	1	60190	31	1																															
33	铳枪	1	0		5	1	1	60210	31	1																															
34	铳枪	1	0		5	1	1	60260	31	1																															
35	铳枪	1	0		5	1	1	60250	32	1																															
36	铳枪	1	0		5	1	1	60231	31	1																															
37	铳枪	1	0		5	1	1	60200	31	1																															
38	铳枪	1	0		5	1	1	60211	31	1																															
39	铳枪	1	0		5	1	1	60390	33	1																															
40	铳枪	1	0		5	1	1	60171	33	1																															
41	铳枪	1	0		1	1	1	60012	41	1																															
42	铳枪	1	0		2	1	180	60140	42	1				99999999	60190	42	1																								
43	铳枪	1	0		5	1	1	60261	41	1																															
44	铳枪	1	0		2	1	180	60150	42	1				99999999	60210	42	1																								
45	铳枪	1	0		4	1	1	60071	42	1	60030	42	1																												
46	铳枪	1	0		2	1	180	60090	42	1				99999999	60260	42	1																								
47	铳枪	1	0		5	1	1	60251	41	1																															
48	铳枪	1	0		3	1	180	60230	43	1				180	60100	43	1				99999999	60231	43	1																	
49	铳枪	1	0		2	1	180	60152	42	1				99999999	60390	42	1																								
50	铳枪	1	0		5	1	1	60300	41	1																															
51	铳枪	1	0		5	1	1	60102	51	1																															
52	铳枪	1	0		2	1	180	60152	52	1				99999999	60210	52	1																								
53	铳枪	1	0		3	1	180	60120	53	1				180	60091	53	1				99999999	60280	53	1																	
54	铳枪	1	0		2	1	180	60141	52	1				99999999	60250	52	1																								
55	铳枪	1	0		5	1	1	60480	51	1																															
56	铳枪	1	0		2	1	180	60190	52	1				99999999	60490	52	1																								
57	铳枪	1	0		5	1	1	60481	51	1																															
58	铳枪	1	0		4	1	180	60091	52	1	60121	52	1																												
59	铳枪	1	0		2	1	180	60211	52	1				99999999	60251	52	1																								
60	铳枪	1	0		5	1	1	60420	57	1																															
61	铳枪	1	0	120	1	1	1	60870	61	1																															
62	铳枪	1	0	120	1	1	1	60280	63	1				1	60280	63	1																								
63	铳枪	1	0	120	1	1	1	60151	64	1																															
64	铳枪	1	0	120	1	1	1	60251	63	1				1	60211	63	1																								
65	铳枪	1	0	120	1	1	1	60900	61	1																															
66	铳枪	1	0	120	1	1	1	60480	63	1				1	60481	63	1																								
67	铳枪	1	0	120	1	1	1	60420	62	1				1	60420	62	1																								
68	铳枪	1	0	120	1	1	1	60390	63	1				1	60290	63	1																								
69	铳枪	1	0	120	1	1	1	60880	65	1																															
70	铳枪	1	0	120	1	1	1	60134	61	1																															
71	铳枪	1	0	150	1	1	1	60910	71	1																															
72	铳枪	1	0	150	4	1	1	60201	72	1	60201	72	1																												
73	铳枪	1	0	150	1	1	1	60491	71	1																															
74	铳枪	1	0	150	1	1	1	60212	71	1																															
75	铳枪	1	0	150	1	1	1	60391	71	1																															
76	铳枪	1	0	150	1	1	1	60630	71	1																															
77	铳枪	1	0	150	1	1	1	60218	71	1																															
78	铳枪	1	0	150	4	1	1	60260	73	1	60261	73	1																												
79	铳枪	1	0	150	1	1	1	60281	71	1																															
80	铳枪	1	0	150	1	1	1	60440	74	1																															
81	铳枪	1	0	150	1	1	1	60450	107	1																															
82	铳枪	1	0	150	4	1	1	60141	108	1	60143	108	1																												
83	铳枪	1	0	150	1	1	1	60441	109	1																															
84	铳枪	1	0	150	2	1	180	60280	110	1				99999999	60281	110	1																								
85	铳枪	1	0	150	2	1	180	60421	111	1				99999999	60421	111	1																								
86	铳枪	1	0	150	1	1	1	60470	112	1																															
87	铳枪	1	0	150	1	1	1	60910	113	1																															
88	铳枪	1	0	150	1	1	1	60871	113	1																															
89	铳枪	1	0	150	1	1	1	60440	113	1				1	60880	113	1																								
90	铳枪	1	0	150	1	1	1	60631	113	1																															
91	铳枪	1	0	150	1	1	1	60710	113	1																															
92	铳枪	1	0	150	1	1	1	60301	113	1																															
93	铳枪	1	0	150	1	1	1	60890	113	1																															
94	铳枪	1	0	150	1	1	1	60920	113	1																															
95	铳枪	1	0	150	1	1	1	60360	113	1																															
96	铳枪	1	0	150	1	1	1	60361	113	1																															
97	铳枪	1	0	150	1	1	1	60670	113	1																															
98	铳枪	1	0	150	1	1	1	60800	113	1																															
99	铳枪	1	0	150	4	1	1	60800	110	1	60800	110	1																												
#============End of sheet============

#============Begin of sheet============
@Sheet=长枪
层数	武器名称	是否可以携带随行猫	是否奇烈	怪物等级	刷怪模式	区域编号	第一波刷新时间点	刷新怪物1-1	属性修饰策略1-1	系数1-1	刷新怪物1-2	属性修饰策略1-2	系数1-2	第二波刷新时间点	刷新怪物2-1	属性修饰策略2-1	系数2-1	刷新怪物2-2	属性修饰策略2-2	系数2-2	第三波刷新时间点	刷新怪物3-1	属性修饰策略3-1	系数3-1	刷新怪物3-2	属性修饰策略3-2	系数3-2	第四波刷新时间点	刷新怪物4-1	属性修饰策略4-1	系数4-1	刷新怪物4-2	属性修饰策略4-2	系数4-2	第五波刷新时间点	刷新怪物5-1	属性修饰策略5-1	系数5-1	刷新怪物5-2	属性修饰策略5-2	系数5-2
1	长枪	1	0		1	1	1	60010	1	1																															
2	长枪	1	0		1	1	1	60030	3	1																															
3	长枪	1	0		1	1	1	60050	3	1																															
4	长枪	1	0		1	1	1	60040	1	1																															
5	长枪	1	0		1	1	1	60110	3	1				1	60060	3	1																								
6	长枪	1	0		1	1	1	60080	1	1																															
7	长枪	1	0		1	1	1	60051	4	1																															
8	长枪	1	0		1	1	1	60070	1	1																															
9	长枪	1	0		1	1	1	60041	1	1																															
10	长枪	1	0		1	1	1	60090	3	1				1	60011	3	1																								
11	长枪	1	0		1	1	1	60100	11	1																															
12	长枪	1	0		1	1	1	60120	3	1																															
13	长枪	1	0		1	1	1	60081	11	1																															
14	长枪	1	0		1	1	1	60230	11	1																															
15	长枪	1	0		1	1	1	60140	3	1				1	60232	3	1																								
16	长枪	1	0		1	1	1	60150	11	1																															
17	长枪	1	0		1	1	1	60170	11	1																															
18	长枪	1	0		1	1	1	60091	11	1																															
19	长枪	1	0		1	1	1	60152	11	1																															
20	长枪	1	0		2	1	300	60130	3	1				99999999	60071	3	1																								
21	长枪	1	0		2	1	180	60070	21	1				99999999	60140	21	1																								
22	长枪	1	0		2	1	180	60100	21	1				99999999	60011	21	1																								
23	长枪	1	0		2	1	180	60230	21	1				99999999	60080	21	1																								
24	长枪	1	0		2	1	180	60120	23	1				99999999	60041	21	1																								
25	长枪	1	0		3	1	210	60081	24	1				210	60071	24	1				99999999	60030	24	1																	
26	长枪	1	0		2	1	180	60150	21	1				99999999	60051	23	1																								
27	长枪	1	0		2	1	180	60091	21	1				99999999	60121	21	1																								
28	长枪	1	0		2	1	180	60170	21	1				99999999	60024	21	1																								
29	长枪	1	0		2	1	180	60232	21	1				99999999	60152	21	1																								
30	长枪	1	0		5	1	1	60200	25	1																															
31	长枪	1	0		5	1	1	60141	31	1																															
32	长枪	1	0		5	1	1	60210	31	1																															
33	长枪	1	0		5	1	1	60231	31	1																															
34	长枪	1	0		5	1	1	60190	31	1																															
35	长枪	1	0		5	1	1	60211	32	1																															
36	长枪	1	0		5	1	1	60143	31	1																															
