#TSV
#============Begin of sheet============
@Sheet=主次分支
ID	图片资源	分支小Icon	分支警句	挑战分支编号	能力分支编号	纪录分支编号	分支名称	默认等级	分支解锁类型	分支解锁值
0	small1a	small1	警句1	S	s	R	总星级	1	0	
1	small2a	small2	警句2	A	a	R	收藏	1	0	
2	small5a	small5	警句3	D	d	R	生产	1	0	
3	small4a	small4	警句4	C	c	R	艾露	1	0	
4	small7a	small7	警句5	H	h	R	武器	1	0	
5	small3a	small3	警句6	B	b	R	见闻	1	0	
6	small6a	small6	警句7	E	e	R	狩猎	1	0	
7	small8a	small8	警句8	F	f	R	猎团	1	0	
8	small9a	small9	警句9	G	g	R	竞争	0	2	999
#============End of sheet============

#============Begin of sheet============
@Sheet=分支等级
星级分支编号	等级	需要积分	日常积分上限
1	1	300	150
1	2	800	150
1	3	1700	150
1	4	8630	150
1	5	8630	150
2	1	100	150
2	2	300	150
2	3	700	150
2	4	2765	150
2	5	2765	150
3	1	100	150
3	2	300	150
3	3	500	150
3	4	1165	150
3	5	1165	150
4	1	100	150
4	2	300	150
4	3	500	150
4	4	5340	150
4	5	5340	150
5	1	100	150
5	2	300	150
5	3	500	150
5	4	1295	150
5	5	1295	150
6	1	200	150
6	2	500	150
6	3	1200	150
6	4	8585	150
6	5	8585	150
7	1	100	150
7	2	200	150
7	3	400	150
7	4	745	150
7	5	745	150
8	1	200	150
8	2	500	150
8	3	1000	150
8	4	9999	150
8	5	9999	150
#============End of sheet============

#============Begin of sheet============
@Sheet=总览数据
星级等级	FeatureTags	星级事项
1		完成主线任务[属于猎人的星]
2		完成挑战卡片《二星猎人》
2		取得500星级积分
3		完成挑战卡片《三星猎人》
3		取得1500星级积分
4		完成挑战卡片《四星猎人》
4		取得3500星级积分
5		完成挑战卡片《五星猎人》
5		取得7000星级积分
6		完成挑战卡片《六星猎人》
6		取得12000星级积分
#============End of sheet============

#============Begin of sheet============
@Sheet=挑战卡片
卡片编号	FeatureTags	卡片名称	是否有效	所属分支编号	旧挑战积分	挑战积分	关联成就	解锁猎人星级	解锁分支等级	解锁黄金猎人星级	解锁玩家等级	解锁玩家HR等级	解锁前置挑战卡片	挑战目标最少数量	挑战目标类型	挑战目标参数1	挑战目标参数2	挑战目标参数3	挑战目标参数4	目标值	物品奖励	物品奖励绑定类型	卡片序号	卡片图片	卡片描述	卡片标题	是否隐藏	卡片等级	卡片颜色	卡片警句编号	是否全服公告	是否不弹窗	卡片星级	显示类型	CardFinishedSimpleDesc
14055		发明·发明狂人②	1	2	10	10		1	0	0	0	0	14054	0	4	401	2	0		500			35	npc_04	生产500个发明系道具	达成以下目标：		2	2	0	0		2	4	
14056		发明·发明狂人③	1	2	20	20		1	0	0	0	0	14055	0	4	401	2	0		1000	870	3	35	npc_04	生产1000个发明系道具	达成以下目标：		3	3	0	0		3	4	
14057		发明·弹药精通①	1	2	20	20		1	0	0	0	0	0	0	4	15	4050	0		1			36	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14057		发明·弹药精通①	1	2	20	20		1	0	0	0	0	0	0	4	15	4051	0		1			36	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14057		发明·弹药精通①	1	2	20	20		1	0	0	0	0	0	0	4	15	4052	0		1			36	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14057		发明·弹药精通①	1	2	20	20		1	0	0	0	0	0	0	4	15	4053	0		1			36	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14057		发明·弹药精通①	1	2	20	20		1	0	0	0	0	0	0	4	15	4054	0		1			36	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14057		发明·弹药精通①	1	2	20	20		1	0	0	0	0	0	0	4	15	4055	0		1			36	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14057		发明·弹药精通①	1	2	20	20		1	0	0	0	0	0	0	4	15	4056	0		1			36	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14057		发明·弹药精通①	1	2	20	20		1	0	0	0	0	0	0	4	15	4057	0		1			36	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14057		发明·弹药精通①	1	2	20	20		1	0	0	0	0	0	0	4	15	4058	0		1			36	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14057		发明·弹药精通①	1	2	20	20		1	0	0	0	0	0	0	4	15	4059	0		1			36	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14058		发明·弹药精通②	1	2	10	10		1	0	0	0	0	0	0	4	15	4060	0		1			37	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14058		发明·弹药精通②	1	2	10	10		1	0	0	0	0	0	0	4	15	4061	0		1			37	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14058		发明·弹药精通②	1	2	10	10		1	0	0	0	0	0	0	4	15	4062	0		1			37	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14058		发明·弹药精通②	1	2	10	10		1	0	0	0	0	0	0	4	15	4063	0		1			37	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14058		发明·弹药精通②	1	2	10	10		1	0	0	0	0	0	0	4	15	4064	0		1			37	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14058		发明·弹药精通②	1	2	10	10		1	0	0	0	0	0	0	4	15	4065	0		1			37	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14058		发明·弹药精通②	1	2	10	10		1	0	0	0	0	0	0	4	15	4066	0		1			37	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14059		发明·弹药精通③	1	2	10	10		1	0	0	0	0	0	0	4	15	4067	0		1			38	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14059		发明·弹药精通③	1	2	10	10		1	0	0	0	0	0	0	4	15	4068	0		1			38	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14059		发明·弹药精通③	1	2	10	10		1	0	0	0	0	0	0	4	15	4069	0		1			38	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14059		发明·弹药精通③	1	2	10	10		1	0	0	0	0	0	0	4	15	4070	0		1			38	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14059		发明·弹药精通③	1	2	10	10		1	0	0	0	0	0	0	4	15	4071	0		1			38	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14059		发明·弹药精通③	1	2	10	10		1	0	0	0	0	0	0	4	15	4072	0		1			38	npc_04	<2>	习得以下配方：		1	2	0	0		2	2	
14060		发明·弹药百科①	1	2	20	20		1	0	0	0	0	0	0	4	407	7004	0		100			39	npc_04	生产100次<2>	达成以下目标：		1	2	0	0		2	4	
14060		发明·弹药百科①	1	2	20	20		1	0	0	0	0	0	0	4	407	7007	0		100			39	npc_04	生产100次<2>	达成以下目标：		1	2	0	0		2	4	
14060		发明·弹药百科①	1	2	20	20		1	0	0	0	0	0	0	4	407	7010	0		100			39	npc_04	生产100次<2>	达成以下目标：		1	2	0	0		2	4	
14061		发明·弹药百科②	1	2	20	20		1	0	0	0	0	0	0	4	407	7002	0		100			40	npc_04	生产100次<2>	达成以下目标：		1	2	0	0		2	4	
14061		发明·弹药百科②	1	2	20	20		1	0	0	0	0	0	0	4	407	7005	0		100			40	npc_04	生产100次<2>	达成以下目标：		1	2	0	0		2	4	
14061		发明·弹药百科②	1	2	20	20		1	0	0	0	0	0	0	4	407	7008	0		100			40	npc_04	生产100次<2>	达成以下目标：		1	2	0	0		2	4	
14061		发明·弹药百科②	1	2	20	20		1	0	0	0	0	0	0	4	407	7011	0		100			40	npc_04	生产100次<2>	达成以下目标：		1	2	0	0		2	4	
14062		发明·弹药百科③	1	2	20	20		1	0	0	0	0	0	0	4	407	7003	0		100	871	3	41	npc_04	生产100次<2>	达成以下目标：		1	2	0	0		2	4	
14062		发明·弹药百科③	1	2	20	20		1	0	0	0	0	0	0	4	407	7006	0		100			41	npc_04	生产100次<2>	达成以下目标：		1	2	0	0		2	4	
14062		发明·弹药百科③	1	2	20	20		1	0	0	0	0	0	0	4	407	7009	0		100			41	npc_04	生产100次<2>	达成以下目标：		1	2	0	0		2	4	
14062		发明·弹药百科③	1	2	20	20		1	0	0	0	0	0	0	4	407	7012	0		100			41	npc_04	生产100次<2>	达成以下目标：		1	2	0	0		2	4	
14063		珠宝·入门	1	2	10	10		1	0	0	0	0	0	1	4	407	21103	0		1			42	npc_03	<2>	生产任意一种原珠：		1	1	0	0		1	1	
14063		珠宝·入门	1	2	10	10		1	0	0	0	0	0	1	4	407	21104	0		1			42	npc_03	<2>	生产任意一种原珠：		1	1	0	0		1	1	
14063		珠宝·入门	1	2	10	10		1	0	0	0	0	0	1	4	407	21105	0		1			42	npc_03	<2>	生产任意一种原珠：		1	1	0	0		1	1	
14063		珠宝·入门	1	2	10	10		1	0	0	0	0	0	1	4	407	21106	0		1			42	npc_03	<2>	生产任意一种原珠：		1	1	0	0		1	1	
14063		珠宝·入门	1	2	10	10		1	0	0	0	0	0	1	4	407	21174	0		1			42	npc_03	<2>	生产任意一种原珠：		1	1	0	0		1	1	
14063		珠宝·入门	1	2	10	10		1	0	0	0	0	0	1	4	407	21175	0		1			42	npc_03	<2>	生产任意一种原珠：		1	1	0	0		1	1	
14064		珠宝·见习	1	2	10	10		1	0	0	0	0	14063	0	4	407	21103	0		1			43	npc_03	<2>	生产六种原珠：		1	1	0	0		1	1	
14064		珠宝·见习	1	2	10	10		1	0	0	0	0	0	0	4	407	21104	0		1			43	npc_03	<2>	生产六种原珠：		1	1	0	0		1	1	
14064		珠宝·见习	1	2	10	10		1	0	0	0	0	0	0	4	407	21105	0		1			43	npc_03	<2>	生产六种原珠：		1	1	0	0		1	1	
14064		珠宝·见习	1	2	10	10		1	0	0	0	0	0	0	4	407	21106	0		1			43	npc_03	<2>	生产六种原珠：		1	1	0	0		1	1	
14064		珠宝·见习	1	2	10	10		1	0	0	0	0	0	0	4	407	21174	0		1			43	npc_03	<2>	生产六种原珠：		1	1	0	0		1	1	
14064		珠宝·见习	1	2	10	10		1	0	0	0	0	0	0	4	407	21175	0		1			43	npc_03	<2>	生产六种原珠：		1	1	0	0		1	1	
14065		珠宝·进阶	1	2	20	20		1	0	0	0	0	14064	0	4	410	2	0		20			44	npc_03	生产20个技能珠【1】	达成以下目标：		1	1	0	0		1	4	
14066		珠宝·大师	1	2	30	30		1	0	0	0	0	14065	0	4	410	3	0		20			45	npc_03	生产20个技能珠【2】	达成以下目标：		1	2	0	0		2	4	
14067		珠宝·达人	1	2	40	40		1	0	0	0	0	14066	0	4	410	4	0		20			46	npc_03	生产20个技能珠【3】	达成以下目标：		1	3	0	0		3	4	
14068		珠宝·流光溢彩①	1	2	10	10		1	0	0	0	0	0	0	4	401	3	0		1			47	npc_03	生产1个任意珠子	达成以下目标：		1	1	0	0		1	4	
14069		珠宝·流光溢彩②	1	2	30	30		1	0	0	0	0	14068	0	4	401	3	0		100			47	npc_03	生产100个任意珠子	达成以下目标：		2	2	0	0		2	4	
14070		珠宝·流光溢彩③	1	2	50	50		1	0	0	0	0	14069	0	4	401	3	0		200			47	npc_03	生产200个任意珠子	达成以下目标：		3	3	0	0		3	4	
14071		珠宝狂人·初阶①	1	2	20	20		1	0	0	0	0	0	0	4	15	4100	0		1			48	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14071		珠宝狂人·初阶①	1	2	20	20		1	0	0	0	0	0	0	4	15	4101	0		1			48	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14071		珠宝狂人·初阶①	1	2	20	20		1	0	0	0	0	0	0	4	15	4103	0		1			48	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14071		珠宝狂人·初阶①	1	2	20	20		1	0	0	0	0	0	0	4	15	4104	0		1			48	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14071		珠宝狂人·初阶①	1	2	20	20		1	0	0	0	0	0	0	4	15	4106	0		1			48	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14071		珠宝狂人·初阶①	1	2	20	20		1	0	0	0	0	0	0	4	15	4115	0		1			48	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14071		珠宝狂人·初阶①	1	2	20	20		1	0	0	0	0	0	0	4	15	4124	0		1			48	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14071		珠宝狂人·初阶①	1	2	20	20		1	0	0	0	0	0	0	4	15	4130	0		1			48	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14071		珠宝狂人·初阶①	1	2	20	20		1	0	0	0	0	0	0	4	15	4136	0		1			48	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14072		珠宝狂人·初阶②	1	2	20	20		1	0	0	0	0	0	0	4	15	4142	0		1			49	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14072		珠宝狂人·初阶②	1	2	20	20		1	0	0	0	0	0	0	4	15	4148	0		1			49	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14072		珠宝狂人·初阶②	1	2	20	20		1	0	0	0	0	0	0	4	15	4151	0		1			49	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14072		珠宝狂人·初阶②	1	2	20	20		1	0	0	0	0	0	0	4	15	4157	0		1			49	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14072		珠宝狂人·初阶②	1	2	20	20		1	0	0	0	0	0	0	4	15	4160	0		1			49	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14072		珠宝狂人·初阶②	1	2	20	20		1	0	0	0	0	0	0	4	15	4163	0		1			49	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14072		珠宝狂人·初阶②	1	2	20	20		1	0	0	0	0	0	0	4	15	4169	0		1			49	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14072		珠宝狂人·初阶②	1	2	20	20		1	0	0	0	0	0	0	4	15	4172	0		1			49	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14072		珠宝狂人·初阶②	1	2	20	20		1	0	0	0	0	0	0	4	15	4175	0		1			49	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14072		珠宝狂人·初阶②	1	2	20	20		1	0	0	0	0	0	0	4	15	4181	0		1			49	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14073		珠宝狂人·初阶③	1	2	20	20		1	0	0	0	0	0	0	4	15	4182	0		1			50	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14073		珠宝狂人·初阶③	1	2	20	20		1	0	0	0	0	0	0	4	15	4193	0		1			50	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14073		珠宝狂人·初阶③	1	2	20	20		1	0	0	0	0	0	0	4	15	4196	0		1			50	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14073		珠宝狂人·初阶③	1	2	20	20		1	0	0	0	0	0	0	4	15	4199	0		1			50	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14073		珠宝狂人·初阶③	1	2	20	20		1	0	0	0	0	0	0	4	15	4205	0		1			50	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14073		珠宝狂人·初阶③	1	2	20	20		1	0	0	0	0	0	0	4	15	4214	0		1			50	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14073		珠宝狂人·初阶③	1	2	20	20		1	0	0	0	0	0	0	4	15	4217	0		1			50	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14073		珠宝狂人·初阶③	1	2	20	20		1	0	0	0	0	0	0	4	15	4220	0		1			50	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14073		珠宝狂人·初阶③	1	2	20	20		1	0	0	0	0	0	0	4	15	4223	0		1			50	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14073		珠宝狂人·初阶③	1	2	20	20		1	0	0	0	0	0	0	4	15	4226	0		1			50	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14074		珠宝狂人·初阶④	1	2	20	20		1	0	0	0	0	0	0	4	15	4229	0		1			51	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14074		珠宝狂人·初阶④	1	2	20	20		1	0	0	0	0	0	0	4	15	4232	0		1			51	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14074		珠宝狂人·初阶④	1	2	20	20		1	0	0	0	0	0	0	4	15	4238	0		1			51	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14074		珠宝狂人·初阶④	1	2	20	20		1	0	0	0	0	0	0	4	15	4241	0		1			51	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14074		珠宝狂人·初阶④	1	2	20	20		1	0	0	0	0	0	0	4	15	4253	0		1			51	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14074		珠宝狂人·初阶④	1	2	20	20		1	0	0	0	0	0	0	4	15	4256	0		1			51	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14074		珠宝狂人·初阶④	1	2	20	20		1	0	0	0	0	0	0	4	15	4274	0		1			51	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14074		珠宝狂人·初阶④	1	2	20	20		1	0	0	0	0	0	0	4	15	4280	0		1			51	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14074		珠宝狂人·初阶④	1	2	20	20		1	0	0	0	0	0	0	4	15	4307	0		1			51	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14075		珠宝狂人·初阶⑤	1	2	20	20		1	0	0	0	0	0	0	4	15	4322	0		1			52	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14075		珠宝狂人·初阶⑤	1	2	20	20		1	0	0	0	0	0	0	4	15	4324	0		1			52	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14075		珠宝狂人·初阶⑤	1	2	20	20		1	0	0	0	0	0	0	4	15	4326	0		1			52	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14075		珠宝狂人·初阶⑤	1	2	20	20		1	0	0	0	0	0	0	4	15	4328	0		1			52	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14075		珠宝狂人·初阶⑤	1	2	20	20		1	0	0	0	0	0	0	4	15	4331	0		1			52	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14075		珠宝狂人·初阶⑤	1	2	20	20		1	0	0	0	0	0	0	4	15	4333	0		1			52	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14075		珠宝狂人·初阶⑤	1	2	20	20		1	0	0	0	0	0	0	4	15	4335	0		1			52	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14075		珠宝狂人·初阶⑤	1	2	20	20		1	0	0	0	0	0	0	4	15	4337	0		1			52	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14075		珠宝狂人·初阶⑤	1	2	20	20		1	0	0	0	0	0	0	4	15	4339	0		1			52	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14075		珠宝狂人·初阶⑤	1	2	20	20		1	0	0	0	0	0	0	4	15	4342	0		1			52	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14076		珠宝狂人·初阶⑥	1	2	20	20		1	0	0	0	0	0	0	4	15	4344	0		1			53	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14076		珠宝狂人·初阶⑥	1	2	20	20		1	0	0	0	0	0	0	4	15	4346	0		1			53	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14076		珠宝狂人·初阶⑥	1	2	20	20		1	0	0	0	0	0	0	4	15	4348	0		1			53	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14076		珠宝狂人·初阶⑥	1	2	20	20		1	0	0	0	0	0	0	4	15	4350	0		1			53	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14076		珠宝狂人·初阶⑥	1	2	20	20		1	0	0	0	0	0	0	4	15	4354	0		1			53	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14076		珠宝狂人·初阶⑥	1	2	20	20		1	0	0	0	0	0	0	4	15	4360	0		1			53	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14076		珠宝狂人·初阶⑥	1	2	20	20		1	0	0	0	0	0	0	4	15	4361	0		1			53	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14076		珠宝狂人·初阶⑥	1	2	20	20		1	0	0	0	0	0	0	4	15	4362	0		1			53	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14076		珠宝狂人·初阶⑥	1	2	20	20		1	0	0	0	0	0	0	4	15	4363	0		1			53	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14076		珠宝狂人·初阶⑥	1	2	20	20		1	0	0	0	0	0	0	4	15	4364	0		1			53	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14077		珠宝狂人·初阶⑦	1	2	20	20		1	0	0	0	0	0	0	4	15	4365	0		1			54	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14077		珠宝狂人·初阶⑦	1	2	20	20		1	0	0	0	0	0	0	4	15	4366	0		1			54	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14077		珠宝狂人·初阶⑦	1	2	20	20		1	0	0	0	0	0	0	4	15	4367	0		1			54	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14077		珠宝狂人·初阶⑦	1	2	20	20		1	0	0	0	0	0	0	4	15	4369	0		1			54	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14077		珠宝狂人·初阶⑦	1	2	20	20		1	0	0	0	0	0	0	4	15	4371	0		1			54	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14077		珠宝狂人·初阶⑦	1	2	20	20		1	0	0	0	0	0	0	4	15	4372	0		1			54	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14077		珠宝狂人·初阶⑦	1	2	20	20		1	0	0	0	0	0	0	4	15	4373	0		1			54	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14077		珠宝狂人·初阶⑦	1	2	20	20		1	0	0	0	0	0	0	4	15	3559	0		1			54	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14077		珠宝狂人·初阶⑦	1	2	20	20		1	0	0	0	0	0	0	4	15	3527	0		1			54	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14077		珠宝狂人·初阶⑦	1	2	20	20		1	0	0	0	0	0	0	4	15	3528	0		1			54	npc_03	<2>	习得以下技能珠的配方		1	1	0	0		1	2	
14078		珠宝狂人·高阶①	1	2	30	30		1	0	0	0	0	0	0	4	15	4102	0		1			55	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14078		珠宝狂人·高阶①	1	2	30	30		1	0	0	0	0	0	0	4	15	4105	0		1			55	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14078		珠宝狂人·高阶①	1	2	30	30		1	0	0	0	0	0	0	4	15	4109	0		1			55	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14078		珠宝狂人·高阶①	1	2	30	30		1	0	0	0	0	0	0	4	15	4143	0		1			55	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14078		珠宝狂人·高阶①	1	2	30	30		1	0	0	0	0	0	0	4	15	4154	0		1			55	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14078		珠宝狂人·高阶①	1	2	30	30		1	0	0	0	0	0	0	4	15	4166	0		1			55	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14078		珠宝狂人·高阶①	1	2	30	30		1	0	0	0	0	0	0	4	15	4173	0		1			55	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14078		珠宝狂人·高阶①	1	2	30	30		1	0	0	0	0	0	0	4	15	4183	0		1			55	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14079		珠宝狂人·高阶②	1	2	30	30		1	0	0	0	0	0	0	4	15	4187	0		1			56	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14079		珠宝狂人·高阶②	1	2	30	30		1	0	0	0	0	0	0	4	15	4200	0		1			56	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14079		珠宝狂人·高阶②	1	2	30	30		1	0	0	0	0	0	0	4	15	4218	0		1			56	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14079		珠宝狂人·高阶②	1	2	30	30		1	0	0	0	0	0	0	4	15	4221	0		1			56	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14079		珠宝狂人·高阶②	1	2	30	30		1	0	0	0	0	0	0	4	15	4233	0		1			56	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14079		珠宝狂人·高阶②	1	2	30	30		1	0	0	0	0	0	0	4	15	4239	0		1			56	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14079		珠宝狂人·高阶②	1	2	30	30		1	0	0	0	0	0	0	4	15	4247	0		1			56	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14079		珠宝狂人·高阶②	1	2	30	30		1	0	0	0	0	0	0	4	15	4259	0		1			56	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14080		珠宝狂人·高阶③	1	2	30	30		1	0	0	0	0	0	0	4	15	4329	0		1			57	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14080		珠宝狂人·高阶③	1	2	30	30		1	0	0	0	0	0	0	4	15	4341	0		1			57	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14080		珠宝狂人·高阶③	1	2	30	30		1	0	0	0	0	0	0	4	15	4343	0		1			57	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14080		珠宝狂人·高阶③	1	2	30	30		1	0	0	0	0	0	0	4	15	4345	0		1			57	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14080		珠宝狂人·高阶③	1	2	30	30		1	0	0	0	0	0	0	4	15	4352	0		1			57	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14080		珠宝狂人·高阶③	1	2	30	30		1	0	0	0	0	0	0	4	15	4357	0		1			57	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14080		珠宝狂人·高阶③	1	2	30	30		1	0	0	0	0	0	0	4	15	4358	0		1			57	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14080		珠宝狂人·高阶③	1	2	30	30		1	0	0	0	0	0	0	4	15	4359	0		1			57	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14080		珠宝狂人·高阶③	1	2	30	30		1	0	0	0	0	0	0	4	15	4368	0		1			57	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14081		珠宝狂人·高阶④	1	2	30	30		1	0	0	0	0	0	0	4	15	3503	0		1			58	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14081		珠宝狂人·高阶④	1	2	30	30		1	0	0	0	0	0	0	4	15	3505	0		1			58	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14081		珠宝狂人·高阶④	1	2	30	30		1	0	0	0	0	0	0	4	15	3507	0		1			58	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14081		珠宝狂人·高阶④	1	2	30	30		1	0	0	0	0	0	0	4	15	3509	0		1			58	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
14081		珠宝狂人·高阶④	1	2	30	30		1	0	0	0	0	0	0	4	15	3556	0		1			58	npc_03	<2>	习得以下技能珠的配方		1	2	0	0		2	2	
