#TSV
#============Begin of sheet============
@Sheet=商城版本号
索引	当前版本号
1	13
#============End of sheet============

#============Begin of sheet============
@Sheet=打折卡
物品ID	折扣	折扣额度上限	商品范围
24959	90	50000	
24957	80	50000	
40273	70	50000	
40274	50	50000	
40275	10	50000	
40578	10	70000	
40579	20	70000	
40580	30	70000	
40581	40	70000	
40582	50	70000	
40583	60	70000	
40584	70	70000	
40585	80	70000	
40586	90	70000	
40605	10	100000	
40637	80	50000	
#============End of sheet============

#============Begin of sheet============
@Sheet=打折卡测试数据
物品ID	折扣	折扣额度上限	商品范围
2	95		
#============End of sheet============

#============Begin of sheet============
@Sheet=点券商城
索引ID	组ID	是否显示	图标ICON	女性图标ICON	结算类型	商品名称	物品ID	贩卖数量	类型	子类型	推荐区	销售标志	价格	优惠价格	会员价格	蓝钻会员价格	免费	会员免费	打折卡是否有效	是否可赠送/索取	是否购买自动使用	开始贩售时间	结束贩售时间	购买上限	限制周期	是否取消上架	功能名称	功能参数	BtlSvr不可购买	VIP等级限制	QQ会员限制	人物等级限制	增加VIP经验	排序参数	微信支付信息	是否是VIP物品	模型类型	模型信息	模型动作	性别限制
1081		1	masp025_we_u_se		点券	金属风暴·S	421673	1	武器	铳枪			22800		19800				1	1														833			3	421673	1	0
1082		1	ma078_pl_m	ma078_pl_f	点券	真龙银铠套装	40400	1	人物服饰	其他			18800		16800					1	1	2016/12/21 0:0:0												817			1	782913;782923;782933;782943;782953;	1	0
1083		1	ma078_we_t		猎币	真龙斩魂枪	418433	1	武器	太刀			13800		12800					1		2016/12/21 0:0:0												818			3	418433	1	0
1084		1	ma078_we_t_se		点券	真龙斩魂枪·S	418633	1	武器	太刀			18800		17800					1		2016/12/21 0:0:0												819			3	418633	1	0
1085		1	mart_gift_ma078		点券	真龙武装7折包	40401	1	功能	限购			29800		27800							2016/12/21 0:0:0	2017/1/3 23:59:59	1	永久									820			3	418633;782913;782923;782933;782943;782953;	1	0
1086		1	mart_gift_mahat076		点券	萌动小熊喵石板包	40402	1	功能	限购			48000		45600							2016/12/21 0:0:0	2017/1/16 23:59:59	1	永久									821			1	784213	1	0
1087		1	mart_gift_mabody001		点券	熊猫T恤石板包	40403	1	功能	限购			25800		24600							2016/12/21 0:0:0	2017/1/16 23:59:59	1	永久									822			1	784333	1	0
1089		1	ma080_we_u		猎币	竹笋铳枪	420273	1	武器	铳枪			9800		8800					1		2016/12/21 0:0:0												823			3	420273	1	0
1090		1	masp030_we_x		点券	百合骑士斧	420723	1	武器	斩斧			13800		12800					1		2016/12/21 0:0:0												824			3	420723	1	0
1091		1	mart_gift_meat		点券	圣诞狂欢烤肉大餐	40404	1	功能	限购			1880		980							2016/12/21 0:0:0	2017/1/3 23:59:59	10	每日									825						0
1092		1	mart_gift_ma015		点券	圣诞狂欢豪华礼包	40406	1	功能	限购			66000		59800							2016/12/21 0:0:0	2017/1/3 23:59:59	1	永久									826						0
1093		1	ma015_we_x_se		点券	金色雪橇斧·S	421923	1	武器	斩斧			22800		19800					1		2016/12/21 0:0:0	2017/1/16 23:59:59											827			3	421923	1	0
1094		1	ma015_we_p_se		点券	金星法杖·S	421843	1	武器	片手			12800		9800					1		2016/12/21 0:0:0	2017/1/16 23:59:59											827			3	421843	1	0
1095		1	ma015_we_t_se		点券	圣诞糖果·S	421833	1	武器	太刀			12800		9800					1		2016/12/21 0:0:0	2017/1/16 23:59:59											827			3	421833	1	0
1096		1	ma015_we_s_se		点券	双持铃铛·S	421863	1	武器	双刀			12800		9800					1		2016/12/21 0:0:0	2017/1/16 23:59:59											827			3	421863	1	0
1097		1	ma015_we_u_se		点券	便携式烟囱·S	421873	1	武器	铳枪			12800		9800					1		2016/12/21 0:0:0	2017/1/16 23:59:59											827			3	421873	1	0
1098		1	ma015_we_d_se		点券	圣诞树糖果·S	421813	1	武器	大剑			12800		9800					1		2016/12/21 0:0:0	2017/1/16 23:59:59											827			3	421813	1	0
1099		1	ma015_we_f_se		点券	七彩铃铛·S	421893	1	武器	笛子			12800		9800					1		2016/12/21 0:0:0	2017/1/16 23:59:59											827			3	421893	1	0
1100		1	ma015_we_c_se		点券	糖果曲奇·S	421853	1	武器	锤子			12800		9800					1		2016/12/21 0:0:0	2017/1/16 23:59:59											827			3	421853	1	0
1101		1	ma015_we_g_se		点券	鹿角弹弓·S	421903	1	武器	弓			12800		9800					1		2016/12/21 0:0:0	2017/1/16 23:59:59											827			3	421903	1	0
1102		1	ma015_we_n_se		点券	雪球发射器·S	421823	1	武器	弩			12800		9800					1		2016/12/21 0:0:0	2017/1/16 23:59:59											827			3	421823	1	0
1103		1	ma015_we_q_se		点券	彩灯圣诞树·S	421883	1	武器	长枪			12800		9800					1		2016/12/21 0:0:0	2017/1/16 23:59:59											827			3	421883	1	0
1104		1	ma079_pl_m	ma079_pl_f	点券	阴阳师套装	40409	1	人物服饰	其他			18800		16800					1	1	2017/1/3 0:0:0												813			1	783113;783123;783133;783143;783153;	1	0
1105		1	ma079_we_x		点券	辟邪斩妖斧	418923	1	武器	斩斧			13800		12800					1		2017/1/3 0:0:0												814			3	418923	1	0
1106		1	ma079_we_x_se		点券	辟邪斩妖斧·S	422123	1	武器	斩斧			25800		23800					1		2017/1/3 0:0:0												815			3	422123	1	0
1107		1	mart_gift_ma079		点券	阴阳师斩妖除魔包	40410	1	功能	限购			51800		48800							2017/1/3 0:0:0	2017/1/30 23:59:59	1	永久									816			3	422123;783113;783123;783133;783143;783153;	1	0
1108		1	em046_u01_pl_m	em046_u01_pl_f	点券	星陨魔甲套装	40411	1	人物服饰	其他			18800		17800				1	1	1													801			1	796413;796423;796433;796443;796453;	1	0
1109		1	mart_gift_em046		点券	星陨魔甲石板包	40412	1	功能	限购			28800		25800							2017/1/17 0:0:0	2017/2/13 23:59:59	1	永久									802			1	796413;796423;796433;796443;796453;	1	0
1110		1	mart_gift_em046_we		点券	星陨武器石板包	40413	1	功能	限购			68800		65600							2017/1/17 0:0:0	2017/2/13 23:59:59	1	永久									803			3	424013	1	0
1111		1	mart_gift_ma079_u01		点券	术师破魔7折包	40414	1	功能	限购			48800		36800							2017/1/17 0:0:0	2017/2/13 23:59:59	1	永久									809			3	783213;783223;783233;783243;783253;422033;	1	0
1112		1	ma079_we_t_se		点券	辟邪破魔刀·S	422033	1	武器	太刀			23800		19800				1	1														810			3	422033	1	0
1113		1	ma080_we_g		点券	青竹弹弓	420303	1	武器	弓			16800		15800				1	1														811			3	420303	1	0
1114		1	mart_gift_ma080		点券	熊猫弹弓礼包	40415	1	功能	限购			36800		33800							2017/1/17 0:0:0	2017/2/13 23:59:59	1	永久									812			3	784423;420303	1	0
1115		1	ma092_pl_m	ma092_pl_f	点券	春华羽衣服饰包	40416	1	功能	限购			20800		18800							2017/1/22 0:0:0	2017/2/6 23:59:59	1	永久									798			1	750470	1	0
1116		1	mart_gift_SprFest2017		点券	珠翠罗绮迎新春礼包	40417	1	功能	限购			88800		59800							2017/1/22 0:0:1	2017/2/6 23:59:59	1	永久									799			3	750474;405263	1	0
1117		1	ma020_we_c_se		猎币	铺首战鼓福袋礼包	40422	1	武器	锤子			15800		13800							2017/1/22 0:0:2	2017/2/6 23:59:59	1	永久									804			3	403453	1	0
1118		1	ma020_we_p_se		猎币	招财进宝福袋礼包	40418	1	武器	片手			15800		13800							2017/1/22 0:0:3	2017/2/6 23:59:59	1	永久									805			3	403443	1	0
1119		1	ma020_we_q_se		猎币	舞狮闹春福袋礼包	40419	1	武器	长枪			15800		13800							2017/1/22 0:0:4	2017/2/6 23:59:59	1	永久									806			3	403483	1	0
1120		1	ma020_we_s		猎币	冰糖葫芦福袋礼包	40420	1	武器	双刀			15800		13800							2017/1/22 0:0:5	2017/2/6 23:59:59	1	永久									807			3	405263	1	0
1121		1	ma020_we_u_se		猎币	寿喜火锅福袋礼包	40421	1	武器	铳枪			15800		13800							2017/1/22 0:0:6	2017/2/6 23:59:59	1	永久									808			3	403473	1	0
1122		1	Mart_vip_box04		点券	春节狩魂礼包	40423	1	功能	限购			9800		6800							2017/1/22 0:0:7	2017/2/6 23:59:59	20	永久									800						0
1123		1	ma093_pl_m	ma093_pl_f	点券	衬衫诱惑	750478	1	人物服饰	配饰			25800		23800					1		2017/2/14 0:0:0	2017/2/27 23:59:59											792			1	750478	1	0
1124		1	masp024_we_s		猎币	艾露双重奏	424263	1	武器	双刀			12800		9800				1	1														793			3	424263	1	0
1125		1	masp024_we_p		猎币	怪盗梅拉露	424243	1	武器	片手			12800		9800				1	1														794			3	424243	1	0
1126		1	masp024_we_c		猎币	晚安熊大锤	424253	1	武器	锤子			12800		9800				1	1														795			3	424253	1	0
1127		1	mart_gift_ma024		点券	情人节布偶大礼包	40424	1	功能	限购			48800		43800							2017/2/14 0:0:0	2017/2/27 23:59:59	1	永久									796			3	424263;750478;	1	0
1128		1	mabody001_u01_02		点券	单身汪T恤	796933	1	人物服饰	配饰			9800		7800				1	1														797			1	796933	1	0
1129		1	mart_gift_mabody001_u01		点券	单身汪T恤石板包	40425	1	功能	限购			25800		24600							2017/2/14 0:0:0	2017/2/27 23:59:59	1	永久									797			1	796933	1	0
1130		1	ma046_pl_m	ma046_pl_f	点券	管家女仆套装	40428	1	人物服饰	其他			20800		19800					1	1	2017/2/28 0:0:0												788			1	797013;797023;797033;797043;797053	1	0
1131		1	mart_gift_ma046_01		点券	贴心小女仆礼包	40426	1	功能	限购			28800		25800					1		2017/2/28 0:0:0	2017/3/13 23:59:59											789			1	424823;797013;797023;797033;797043;797053	1	0
1132		1	mart_gift_ma046_02		点券	女仆大作战礼包	40427	1	功能	限购			43800		36800					1		2017/2/28 0:0:0	2017/3/13 23:59:59											790			3	425223;797013;797023;797033;797043;797053	1	0
1133		1	masp_038_we_n		猎币	公主的优雅	424823	1	武器	弩			12800		9800					1		2017/2/28 0:0:1												791			3	424823	1	0
1134		1	masp_028_we_c		猎币	厨师的愤怒	424653	1	武器	锤子			11800		8800					1		2017/2/28 0:0:2												791			3	424653	1	0
1135		1	masp_024_we_q		猎币	花匠的浪漫	424283	1	武器	长枪			11800		8800					1		2017/2/28 0:0:3												791			3	424283	1	0
1136		1	ma084_pl_m	ma084_pl_f	点券	秘书看板娘	750486	1	人物服饰	配饰			22800		19800					1		2017/3/14 0:0:0	2017/3/27 23:59:59											780			1	750486	1	0
1137		1	ma016_u01_we_n		点券	花之礼赞	426423	1	武器	弩			15800		13800				1	1														781			3	426423	1	0
1138		1	mart_gift_ma084		点券	普蕾妮节日献礼	40430	1	功能	限购			68800		49800							2017/3/14 0:0:0	2017/3/27 23:59:59	1	永久									782			3	426423;750486	1	0
1139		1	mart_vip_gift_bigger_4		猎币	情人节甜品礼盒	40431	1	功能	限购			1680		880							2017/3/14 0:0:0	2017/3/27 23:59:59	5	每日									783						0
1140		1	ma079_we_g		猎币	辟邪驱鬼箭	425903	1	武器	弓	新品	最新	13800		12800				1	1														784			3	425903	1	0
1141		1	ma079_we_g_se		点券	辟邪驱鬼箭·S	426103	1	武器	弓			25800		23800				1	1														785			3	426103	1	0
1142		1	ma076_we_s		猎币	金刚双爪	426263	1	武器	双刀			12800		9800				1	1														786			3	426263	1	0
1143		1	mart_gift_ma076_01		点券	雪山霜狼金刚爪礼包	40432	1	功能	限购			28800		23800							2017/3/14 0:0:0	2017/3/27 23:59:59	1	永久									787			3	782513;782523;782533;782543;782553;426263;	1	0
1144		1	ma094_pl_m	ma094_pl_f	点券	刀锋猎团套装	40434	1	人物服饰	其他	新品	最新	18800		17800				1	1	1													776			1	797513;797523;797533;797543;797553	1	0
1145		1	ma033_we_f		猎币	火龙蛋笛	426893	1	武器	笛子			9800		8800				1	1														777			3	426893	1	0
1146		1	gift_masp017		点券	超文明武器石板包	40435	1	功能	限购			68800		65600									1	永久	1								778			3	427243	1	0
1147		1	gift_ma094		点券	刀锋鬼切石板包	40436	1	功能	限购			25800		24600							2017/3/28 0:0:0	2017/4/10 23:59:59	1	永久									779			3	426663	1	0
1148		1	ma098_pl_m	ma098_pl_f	点券	雷霆战神套装	40437	1	人物服饰	其他	新品	最新	18800		17800					1	1	2017/4/11 0:0:0	2017/4/17 23:59:59											771			3	428063;798413;798423;798433;798443;798453	1	0
1149		1	ma098_pl_m	ma098_pl_f	点券	雷霆战神套装	40438	1	人物服饰	其他			18800		17800					1	1	2017/4/18 0:0:0												771			1	798413;798423;798433;798443;798453	1	0
1150		1	ma098_we_p_se		点券	雷神之锤·S	428243	1	武器	片手			17800		16800				1	1														773			3	428243	1	0
1151		1	ma098_we_s_se		点券	风暴之锤·S	428263	1	武器	双刀			17800		16800				1	1														774			3	428263	1	0
1152		1	ma098_we_c_se		点券	泰坦之锤·S	428253	1	武器	锤子			17800		16800				1	1														775			3	428253	1	0
1153		1	mart_gift_098_pl_m_we		点券	雷霆战神全武器礼包	40439	1	功能	限购			66800	46800	46800							2017/4/11 0:0:0	2017/4/24 23:59:59	1	永久									772			3	428243;798413;798423;798433;798443;798453	1	0
1154		1	ma031_u99_pl_m	ma031_u99_pl_f	点券	暗曜哥特·里套装	40441	1	人物服饰	其他			16800		15800				1	1	1													769			1	798913;798923;798933;798943;798953	1	0
1155		1	ma004_we_t		猎币	疾风扫叶	428433	1	武器	太刀			9800		8800				1	1														770			3	428433	1	0
1156		1	gift_mawst001		点券	狐妖一尾石板包	40440	1	功能	限购			48000		45600							2017/4/25 0:0:0	2017/5/8 23:59:59	1	永久									768			1	799143	1	0
1157		1	ma095_pl_m	ma095_pl_f	点券	以柔克刚套装	40442	1	人物服饰	其他	新品	最新	17800		16800				1	1	1													765			1	799213;799223;799233;799243;799253	1	0
1158		1	masp009_we_t		猎币	断雨挟云	429033	1	武器	太刀			9800		8800				1	1														766			3	429033	1	0
1159		1	ma001_we_s		猎币	落水流花	429463	1	武器	双刀			9800		8800				1	1														767			3	429463	1	0
1160		1	mart_gift_masp009_we_t		点券	以柔克刚·伞包	40443	1	功能	限购			32800		26800							2017/5/9 0:0:0	2017/5/15 23:59:59	1	永久									761			3	429233;799213;799223;799233;799243;799253	1	0
1161		1	mart_gift_ma001_we_s		点券	以柔克刚·扇包	40444	1	功能	限购			32800		26800							2017/5/9 0:0:0	2017/5/15 23:59:59	1	永久									762			3	429663;799213;799223;799233;799243;799253	1	0
1162		1	masp009_we_t_se		点券	断雨挟云·S	429233	1	武器	太刀			16800		15800				1	1														763			3	429233	1	0
1163		1	ma001_we_s_se		点券	落水流花·S	429663	1	武器	双刀			16800		15800				1	1														764			3	429663	1	0
1164		1	ma097_pl_m	ma097_pl_f	点券	金狮子紧身服	40445	1	人物服饰	其他			17800		16800				1	1	1													754			1	750494	0	0
1165		1	ma101_we_d_se		点券	电龙直流·S	430013	1	武器	大剑			13800		12800				1	1														759			3	430013	1	0
1166		1	ma101_we_t_se		点券	电龙伏特·S	430033	1	武器	太刀			13800		12800				1	1														758			3	430033	1	0
1167		1	ma101_we_s_se		点券	电龙双极·S	430063	1	武器	双刀			13800		12800				1	1														757			3	430063	1	0
1168		1	ma101_we_p_se		点券	电龙脉冲·S	430043	1	武器	片手			13800		12800				1	1														756			3	430043	1	0
1169		1	masp027_we_c		猎币	猫笑锤	430253	1	武器	锤子			9800		8800				1	1														755			3	430253	1	0
1170		1	mart_gift_mahat031_u01_01		点券	狐面石板包	40446	1	功能	限购			26800		25800							2017/5/23 0:0:0	2017/6/5 23:59:59	1	永久									753			1	799613	1	0
1171		1	mart_gift_ma101_we		点券	电龙武器石板包	40447	1	功能	限购			49800		46800							2017/5/23 0:0:0	2017/6/5 23:59:59	1	永久									752			3	430013	1	0
1172		1	gift_masp017		点券	超文明武器石板包	40448	1	功能	限购			68800		65600							2017/5/23 0:0:0	2017/6/5 23:59:59	1	永久									751			3	427243	1	0
1173		1	ma100_pl_m	ma100_pl_f	点券	截拳道	40449	1	人物服饰	其他			16800		15800				1	1	1													741			1	750498	0	0
1174		1	masp014_we_p		猎币	赤甲短匕	430343	1	武器	片手			9800		8800					1		2017/6/20 0:0:0												745			3	430343	1	0
1175		1	masp014_we_q		猎币	螭吻长枪	430383	1	武器	长枪			9800		8800					1		2017/6/20 0:0:0												746			3	430383	1	0
1176		1	masp014_we_c		猎币	流星黑钺	430353	1	武器	锤子			9800		8800					1		2017/6/20 0:0:0												743			3	430353	1	0
1177		1	masp014_we_d		猎币	金刚狼牙	430313	1	武器	大剑			9800		8800					1		2017/6/20 0:0:0												744			3	430313	1	0
1178		1	mart_gift_masp014_we_p		点券	赤甲短匕·烟花包	40450	1	功能	限购			9800		8800							2017/6/6 0:0:0	2017/6/19 23:59:59	1	永久									747			3	430343	1	0
1179		1	mart_gift_masp014_we_q		点券	螭吻长枪·烟花包	40451	1	功能	限购			9800		8800							2017/6/6 0:0:0	2017/6/19 23:59:59	1	永久									748			3	430383	1	0
1180		1	mart_gift_masp014_we_c		点券	流星黑钺·烟花包	40452	1	功能	限购			9800		8800							2017/6/6 0:0:0	2017/6/19 23:59:58	1	永久									749			3	430353	1	0
1181		1	mart_gift_masp014_we_d		点券	金刚狼牙·烟花包	40453	1	功能	限购			9800		8800							2017/6/6 0:0:0	2017/6/19 23:59:59	1	永久									750			3	430313	1	0
1182		1	mart_gift_mahat060_u01_01		点券	美猴王石板包	40454	1	功能	限购			26800		25800							2017/6/6 0:0:0	2017/6/19 23:59:59	1	永久									742			1	799713	1	0
1183		1	ma104_pl_m	ma104_pl_f	点券	假面绅士套装	40455	1	人物服饰	其他			17800		16800				1	1	1													734			1	800113;800123;800133;800143;800153	1	0
1184		1	masp020_we_c		猎币	一桶啤酒	431153	1	武器	锤子			9800		8600				1	1														737			3	431153	1	0
1185		1	masp020_we_p		猎币	卡路里双焦	431143	1	武器	片手			8800		7800				1	1														736			3	431143	1	0
1186		1	mart_gift_ma035_we_d		点券	邪魅武器石板包	40456	1	功能	限购			68800		65600							2017/6/27 0:0:0	2017/7/10 23:59:59	1	永久									738			3	430803	1	0
1187		1	mart_gift_soul_005		点券	九尾魂兽礼包	40457	1	功能	其他			5000		4800				1	1														735						
1188		1	mart_gift_soul_stone_001		点券	魂晶礼包	40458	1	功能	限购			2680		2560				1					3	每周									739						
1189		1	mart_gift_soul_003		点券	香猪魂兽石板包	40459	1	功能	其他	新品	最新	35500		33800				1															740						
1190		1	ma025_u02_pl_m	ma025_u02_pl_f	点券	炽热沙滩套装	40460	1	人物服饰	其他	新品	最新	16800		15800				1	1	1													727			1	800713;800723;800733;800743;800753	1	0
1191		1	ma060_u01_pl_m	ma060_u01_pl_f	点券	异鲛水装套装	40461	1	人物服饰	其他	新品	最新	18800		17800				1	1														726			1	750506	0	0
1192		1	ma060_u01_we_d		猎币	御风破浪	431613	1	武器	大剑	新品	最新	9800		8800				1	1														733			3	431613	1	0
1193		1	masp014_u02_we_s		猎币	冷焰双刀	431763	1	武器	双刀	新品	最新	9800		8800				1	1														732			3	431763	1	0
1194		1	ma040_u01_we_f		猎币	冷焰魔琴	431793	1	武器	笛子	新品	最新	9800		8800				1	1														731			3	431793	1	0
1195		1	mart_gift_ma060_u01_we_d_se		点券	去冲浪礼包	40462	1	功能	其他	新品	最新	33800		27800				1															728			3	431413	1	0
1196		1	mart_gift_masp014_u02_we_s_se		点券	冷焰双刀石板包	40463	1	功能	其他	新品	最新	51600		50800				1															729			3	431563	1	0
1197		1	mart_gift_ma040_u01_we_f_se		点券	冷焰魔琴石板包	40464	1	功能	其他	新品	最新	51600		50800				1															730			3	431593	1	0
1198		1	ma103_pl_m	ma103_pl_f	点券	喧哗上等套装	40465	1	人物服饰	其他	新品	最新	18800		17800				1	1	1													719			1	800913;800923;800933;800943;800953	1	0
1199		1	ma007_u01_pl_m	ma007_u01_pl_f	点券	烈火红莲套装	40466	1	人物服饰	其他	新品	最新	16800		15800				1	1	1													725			1	801113;801123;801133;801143;801153	1	0
1200		1	ma103_we_t		猎币	神罗正宗	432033	1	武器	太刀	新品	最新	9800		8800				1	1														720			3	432033	1	0
1201		1	ma103_we_c		猎币	御意见无用	432053	1	武器	锤子	新品	最新	9800		8800				1	1														721			3	432053	1	0
1202		1	mart_gift_ma103_we_t_se		点券	神罗正宗魂石包	40467	1	功能	其他	新品	最新	22800		20800				1															722			3	432233	1	0
1203		1	mart_gift_ma103_we_c_se		点券	御意见无用魂石包	40468	1	功能	其他	新品	最新	22800		20800				1															723			3	432253	1	0
1204		1	mart_gift_soul_006		点券	魂晶补充包	40469	1	功能	其他	新品	最新	5880		5680				1															724						
1205		1	ma107_pl_m	ma107_pl_f	点券	探险者套装	40470	1	人物服饰	其他	新品	最新	16800		15800				1	1	1													713			1	801213;801223;801233;801243;801253	1	0
1206		1	ma043_u02_pl_m	ma043_u02_pl_f	点券	绯夜战甲套装	40471	1	人物服饰	其他	新品	最新	18800		17800				1	1	1													714			1	801357;801361;801365;801369;801373	1	0
1207		1	ma107_we_s		猎币	攀登双镐	432563	1	武器	双刀	新品	最新	9800		8600				1	1														718			3	432563	1	0
1208		1	ma107_we_p		猎币	户外獒铲	432343	1	武器	片手	新品	最新	9800		8600				1	1														717			3	432343	1	0
1209		1	mart_gift_ma107_we_s_se		点券	攀登双镐石板包	40472	1	功能	其他	新品	最新	51600		50800				1															716			3	432663	1	0
1210		1	mart_gift_ma107_we_p_se		点券	户外獒铲石板包	40473	1	功能	其他	新品	最新	51600		50800				1															715			3	432443	1	0
1211		1	ma109_pl_m	ma109_pl_f	点券	七夕情缘套装	40474	1	人物服饰	其他	新品	最新	18800		17800				1	1	1													705			1	801413;801423;801433;801443;801453	1	0
1212		1	ma109_we_f		猎币	如意无障	432793	1	武器	笛子	新品	最新	9800		8800				1	1														712			3	432793	1	0
1213		1	ma109_we_g		猎币	如意无灭	432703	1	武器	弓	新品	最新	9800		8800				1	1														711			3	432703	1	0
1214		1	ma109_we_s		猎币	如意无贪	432763	1	武器	双刀	新品	最新	9800		8800				1	1														710			3	432763	1	0
1215		1	mart_gift_ma109_f		点券	如意无障石板包	40475	1	功能	其他	新品	最新	39800		38800				1															708			3	432893	1	0
1216		1	mart_gift_ma109_g		点券	如意无灭石板包	40476	1	功能	其他	新品	最新	39800		38800				1															707			3	432803	1	0
1217		1	mart_gift_ma109_s		点券	如意无贪石板包	40477	1	功能	其他	新品	最新	39800		38800				1															709			3	432863	1	0
1218		1	mart_gift_ma109		点券	七夕如意礼包	40478	1	功能	其他	新品	最新	33800		33800				1															706			3	432793;801413;801423;801433;801443;801453	1	0
1219		1	ma108_pl_m	ma108_pl_f	点券	锦衣御卫套装	40479	1	人物服饰	其他	新品	最新	18800		17800				1	1	1	2017/9/12 0:0:0												696			1	801713;801723;801733;801743;801753	1	0
1220		1	mart_gift_ma108_we		点券	锦衣御卫套装	40480	1	人物服饰	其他	新品	最新	18800		17800						1	2017/9/5 0:0:0	2017/9/11 23:59:00											695			1	801913;801723;801733;801743;801753	1	0
1221		1	ma108_we_t		猎币	苗刀·梅莺	432933	1	武器	太刀	新品	最新	9800		8800				1	1														704			3	432933	1	0
1222		1	ma108_we_p		猎币	绣春·雁翅	432943	1	武器	片手	新品	最新	9800		8800				1	1														703			3	432943	1	0
1223		1	ma108_we_s		猎币	绣春·双燕	432963	1	武器	双刀	新品	最新	9800		8800				1	1														702			3	432963	1	0
1224		1	ma108_we_t_se		点券	苗刀·梅莺·S	433033	1	武器	太刀	新品	最新	16800		15800				1	1														699			3	433033	1	0
1225		1	ma108_we_p_se		点券	绣春·雁翅·S	433043	1	武器	片手	新品	最新	16800		15800				1	1														698			3	433043	1	0
1226		1	ma108_we_s_se		点券	绣春·双燕·S	433063	1	武器	双刀	新品	最新	16800		15800				1	1														697			3	433063	1	0
1227		1	mahat091_01		点券	缠棕斗笠	801913	1	人物服饰	配饰	新品	最新	5800		3800				1	1														701			1	801913	1	0
1228		1	mart_gift_ma108_we_s_se		点券	绣春-苗刀折扣包	40481	1	功能	其他	新品	最新	40800		39800				1															700			3	433063	1	0
1229		1	ma110_pl_m	ma110_pl_f	点券	千里婵娟	40482	1	人物服饰	其他	新品	最新	18800		17800				1	1	1													683			1	802313;802323;802333;802343;802353	1	0
1230		1	ma110_we_t		猎币	冷夜新月	433733	1	武器	太刀	新品	最新	9800		8800				1	1														687			3	433733	1	0
1231		1	ma110_we_s		猎币	合璧望月	433763	1	武器	双刀	新品	最新	9800		8800				1	1														688			3	433763	1	0
1232		1	ma111_we_u		猎币	华夫冰淇淋	433373	1	武器	铳枪	新品	最新	8800		7800				1	1		2017/10/10 0:0:0												689			3	433373	1	0
1233		1	ma111_we_q		猎币	开心热狗餐	433383	1	武器	长枪	新品	最新	8800		7800				1	1		2017/10/10 0:0:0												690			3	433383	1	0
1234		1	mart_gift_ma035_we_s		点券	邪魅武器石板包	40483	1	功能	限购	新品,推荐	最新	68800		65600							2017/9/26 0:0:0	2017/10/9 23:59:00	1	永久									684			3	433142	1	0
1235		1	mart_gift_ma110_we_t_se		点券	新月促销包	40484	1	功能	其他	新品	最新	38800		36800				1															691			3	433833	1	0
1236		1	mart_gift_ma110_we_s_se		点券	望月促销包	40485	1	功能	其他	新品	最新	38800		36800				1															692			3	433863	1	0
1237		1	mart_gift_ma111_we_q_se		点券	冰与热之石板包	40486	1	功能	其他	新品	最新	68800		68800				1															693			3	433473	1	0
1238		1	mart_propcoupon01		点券	国威永久券	10770	1	功能	限购	新品	最新	5800		5800							2017/9/26 0:0:0	2017/10/23 23:59:00	11	永久									685				10770	1	0
1239		1	mart_propcoupon02		点券	国威升级券	10771	1	功能	限购	新品	最新	8800		8800							2017/9/26 0:0:0	2017/10/23 23:59:00	11	永久									686				10771	1	0
1240		1	mart_propcoupon03		猎币	狩神修罗场狩猎凭证	10774	1	功能	限购	新品	最新	1800		1800				1					1	每周									682				10774	1	0
1241		1	mart_propcoupon03		点券	狩神修罗场狩猎凭证	10774	1	功能	其他	新品	最新	1800		1680				1	1														681				10774	1	0
1242		1	ma106_pl_m	ma106_pl_f	点券	覆面甲胄	40487	1	人物服饰	其他	新品	最新	18800		17800				1	1	1													673			1	802613;802623;802633;802643;802653	1	0
1243		1	ma106_we_d		猎币	核聚斩舰刃	434513	1	武器	大剑	新品	最新	11800		9800				1	1														678			3	434513	1	0
1244		1	ma106_we_d_se		点券	核聚斩舰刃·S	434613	1	武器	大剑	新品	最新	16800		15800				1	1														674			3	434613	1	0
1245		1	ma105_we_n		猎币	湮灭弩炮	434723	1	武器	弩	新品	最新	12800		10800				1	1														680			3	434723	1	0
1246		1	ma105_we_n_se		点券	湮灭弩炮·S	434823	1	武器	弩	新品	最新	18800		16800				1	1														675			3	434823	1	0
1247		1	ma105_we_t		猎币	光动能太刀	434733	1	武器	太刀	新品	最新	11800		9800				1	1														679			3	434733	1	0
1248		1	ma105_we_t_se		点券	光动能太刀·S	434833	1	武器	太刀	新品	最新	16800		15800				1	1														676			3	434833	1	0
1249		1	mart_gift_ma105_we_t_se		点券	未来科技石板包	40488	1	功能	其他	新品	最新	68800		65600				1															677			3	434613	1	0
1250		1	mart_ticket01		点券	山菜券	21458	1	功能	限购	新品	最新	2000		2000							2017/10/17 0:0:0	2017/10/30 23:59:00	10	每周									672				21458	1	0
1251		1	ma111_pl_m	ma111_pl_f	点券	异星殖装套装	40489	1	人物服饰	其他	新品	最新	18800		17800				1	1	1													663			1	750067	0	0
1252		1	ma111_we_n_se		点券	异星骸弩·S	435023	1	武器	弩	新品	最新	22800		20800				1	1														664			3	435023	1	0
1253		1	ma112_we_q		猎币	掠夺血矛	435183	1	武器	长枪	新品	最新	10800		9800				1	1														671			3	435183	1	0
1254		1	ma112_we_u		猎币	掠夺铂铳	435173	1	武器	铳枪	新品	最新	9800		8800				1	1														670			3	435173	1	0
