#TSV
#============Begin of sheet============
@Sheet=人物普通buff10~12
19090001	有始有终		1											保留旧的																																					
19090002	轻巧装填		1											保留旧的																																					
19090003	小心谨慎		1											保留旧的																																					
19090004	聚精会神		1											保留旧的																																					
19090005	火力全开		1											保留旧的																																					
19090006	炽焰强化		1											保留旧的																																					
19090007	余热浓缩		1											保留旧的																																					
19090008	龙焰灼天		1											保留旧的																人物属性修饰	GunLanceDdctSpeed	百分比修改	-30																		
19030001	刚柔相济		1											保留旧的																																					
19030002	勇往直前		1											保留旧的																斩味消耗修饰	百分比修改	-30																			
19030003	快速突进		1											保留旧的																																					
19030004	坚盾铁壁		1											保留旧的																																					
19030005	迅捷随心		1											保留旧的																																					
19030006	滴水不漏		1											保留旧的																																					
19030007	浑然一体		1											保留旧的																																					
19030008	蓄势待发		1											保留旧的																																					
#============End of sheet============

#============Begin of sheet============
@Sheet=测试buff
基因ID	name	type	增益标志	基因类型1	基因类型2	group	是否被动Buff	持续时间	有效状态	状态参数1	状态参数2	生效状态	有效地区	叠加类别	叠加类型	叠加上限	部位叠加	互斥标志	互斥优先级	下线保留	死亡清除	离开副本清除	触发条件	触发参数	触发几率	触发次数	触发特效	触发CD	CD组	效果类型	效果参数1	效果参数2	效果参数3	效果参数4	打断是否生效	结束时效果类型	结束时效果参数1	结束时效果参数2	结束时效果参数3	结束时效果参数4	Icon	Icon显示信息	基因tips	开启特效	开启提示	关闭特效	关闭提示	中断特效	中断提示	音效	异常受击状态Flag
99999									施放技能												0									人物属性修饰	CharDefence	百分比修改	-10.5																		
99998									施放指定技能	100700101																				人物属性修饰	CharDefence	百分比修改	-10.5																		
99997																														斩味消耗修饰	值修改	10																			
99996																														伤害计算因子修饰	威力值	值修改	10	PVP																	
99995																														被伤害结果部位修饰	失衡值	值修改	10																		
99994																														伤害结果部位修饰	破坏值	百分比修改	50																		
99993																														指定类型buff时间修饰	值修改	10000	毒																		
99992																														指定buff时间修饰	百分比修改	100	10001																		
99989																														指定buff效果免疫	10001																				
99988																														某类buff效果免疫	毒																				
99985																														剥取次数修饰	值修改	1	boss																		
99984																														指定素材获得概率修饰	1001	10																			
99983																														蓄力时间修饰	-50																				
99979																							技能命中							增加怒气	10																				
99978																														攻击不弹刀																					
99977																														技能位移修饰	50																				
99976																														伤害结果修饰	伤害	百分比修改	-25																		
99975																														被伤害结果修饰	伤害	百分比修改	-25																		
99974																														气刃槽消耗修饰	值修改	10																			
99973									施放指定技能	100700101																				技能位移修饰	-50																				
99972									气刃槽满																					气刃槽消耗修饰	值修改	-5																			
99971																							技能命中																												
99970																							指定技能命中	100700101																											
99969																							指定技能组命中	100700101																											
99968									施放指定技能	100700101																				斩味消耗修饰	值修改	10																			
99967									施放技能														EOT触发					1000		固定扣红血	1																				
99966									施放指定技能组	20001													技能命中							增加怒气	10																				
99965																							目标肉质低于指定值	0.6						伤害结果修饰	伤害	百分比修改	10																		
99965																														指定buff效果免疫	39993																				
99964																														伤害结果部位修饰	破坏值	值修改	10																		
99964																														伤害结果部位修饰	失衡值	值修改	10																		
99963	毒		0	毒																			EOT触发					1000		毒伤害	3										buff12		每秒钟损失一定的生命值	14							
99962									队伍里有异性																					人物属性修饰	CharDefence	百分比修改	-10.5																		
99961																														根性	百分比修改	10																			
99960									同区有BOSS愤怒																					根性	值修改	10																			
99959																														体力恢复修饰	百分比修改	10																			
99958									装备指定武器	太刀																				人物属性修饰	CharDefence	百分比修改	-10.5																		
99957									当HP处于某百分比区间时	60	100												受致命伤害时			1				根性	值修改	10																			
99956																							剥取		100					剥取次数修饰	值修改	1	boss																		
99955									施放指定技能组	20001																				给子弹上buff	14001																				
99954																														关卡奖励修饰	经验	值修改	10																		
99954																														关卡奖励修饰	绑定金	百分比修改	10																		
99954																														关卡奖励修饰	非绑定金	百分比修改	10																		
99954																														关卡奖励修饰	固定物品数量	百分比修改	10																		
99954																														关卡奖励修饰	随机物品数量	百分比修改	10																		
99953																														采集次数修饰	值修改	1	矿																		
99952																														剥取次数修饰	值修改	1	boss																		
99951																														剥取次数修饰	百分比修改	100	指定怪物	60210																	
99950																														指定buff时间修饰	值修改	2000	70009																		
99949																														改变部位肉质	百分比修改	-80																			
99948																							带buff的部位被命中							被伤害结果修饰	伤害	值修改	10																		
99948																							带buff的部位被命中							被伤害计算因子修饰	威力值	值修改	10																		
99948																														改变部位肉质	百分比修改	-80																			
99948																							带buff的部位被命中							获得BUFF	99947																				
99947																														猫饭buff死亡不消失																					
99946																														伤害中间结果修饰	会心攻击	值修改	10																		
99946																														伤害中间结果修饰	会心率	值修改	10																		
99946																														伤害中间结果修饰	防御系数	值修改	10																		
99945																														被伤害中间结果修饰	会心攻击	值修改	10																		
99945																														被伤害中间结果修饰	会心率	值修改	10																		
99945																														被伤害中间结果修饰	防御系数	值修改	10																		
99944														时间更新,次数叠加		5														人物属性修饰	CharDefence	百分比修改	100																		
99943																														人物属性修饰	CharDefence	百分比修改	100		1	获得BUFF	99944														
99942																		1	1																																
99941																		1	2																																
99940							1											1	3											人物属性修饰	CharDefence	百分比修改	100																		
99939							1											1	4											人物属性修饰	CharDefence	百分比修改	200																		
99938																														人物属性修饰	CharDefence	百分比修改	200																		
99937																							EOT触发					1000		猫车守护传递	5	10	99938	99941																	
99936																														物品携带上限	1	值修改	10																		
99935																														经验值增加修饰	百分比修改	100																			
99934																							EOT触发					1000		固定扣耐力	百分比修改	5																			
99933																														人物属性修饰	CharDefence	百分比修改	100		1	移除BUFF	99944														
99932									在指定关卡ID内	100101																				人物属性修饰	CharDefence	百分比修改	100																		
99932									在指定关卡类型内	普通		1																																							
99932									在指定关卡组内	100101																																									
99931																														耐力消耗修饰	百分比修改	-20																			
99930									当HP处于某区间时	70	90	1																		人物属性修饰	CharDefence	百分比修改	100																		
99930									当HP处于某区间时	60	100	1																																							
99929									当HP处于某区间时	60	100																			人物属性修饰	CharDefence	百分比修改	100																		
99929									当HP处于某区间时	70	90																																								
99928									当HP处于某区间时	60	100	1																		人物属性修饰	CharDefence	百分比修改	100																		
99928									当HP处于某区间时	70	90	1																																							
99927									当HP处于某区间时	70	90																			人物属性修饰	CharDefence	百分比修改	100																		
99927									当HP处于某区间时	60	100																																								
99926																							被击中时							获得BUFF	99927																				
99925							1											1	4											人物属性修饰	CharDefence	百分比修改	300																		
99924							1											1	1											人物属性修饰	CharDefence	百分比修改	400																		
99923	毒		0	毒																			EOT触发					1000		火伤害	3										buff12		每秒钟损失一定的生命值	14							
99922														时间更新,次数叠加		5							EOT触发	立即触发				1000		固定加血	10																				
99921														时间更新,次数叠加		5							EOT触发	立即触发				1000		固定百分比加血	10																				
99920																														锁气绝																					
99919																														免疫	免疫偷																				
99918																							EOT触发	立即触发				1000		怪物积蓄值修改	10	毒积蓄值																			
99917									部位带气绝																					部位特效	Air_Ability_Mst.HOD.GoBad_MST																				
99916														时间更新,次数叠加		5							EOT触发	立即触发				1000		固定怪物百分比扣血	10																				
99915														时间更新,次数叠加		5							EOT触发	立即触发				1000		固定加耐力	10																				
99914																														不能使用指定技能	100000501																				
99913																														不能使用武器																					
99912																							EOT触发					1000		光环	10	10007																			
99911																							命中指定部位	head						伤害结果部位修饰	失衡值	值修改	10																		
99911																							命中指定部位	head						伤害中间结果修饰	会心率	值修改	10																		
99910																														霸体时间修饰	值修改	100																			
99909									当斩位处于某区间时	橙	黄																			人物属性修饰	CharDefence	百分比修改	100																		
99908																							暴击时							伤害结果部位修饰	失衡值	值修改	10																		
99907																							暴击时							伤害中间结果修饰	会心率	值修改	10																		
99906																														修改蓄力时间	100 200 300 400 500																				
99905									当斩位处于最高一级时	绿																				人物属性修饰	CharDefence	百分比修改	100																		
99904																							气刃槽满							获得BUFF	99903																				
99903																														人物属性修饰	CharDefence	百分比修改	100																		
99902																							使用指定道具后	1						获得BUFF	99903																				
99901																							使用某类道具后	1 1 1						获得BUFF	99903																				
99900																							命中气绝状态的目标							伤害结果部位修饰	失衡值	值修改	10																		
99889																							命中气绝状态的目标							伤害中间结果修饰	会心率	值修改	10																		
99888																														切换重击槽																					
99887																							EOT触发	立即触发				1000		自动回血																					
99886																														免疫	免疫指定buff	99883																			
99885																														免疫	免疫指定buff组	9883																			
99884																														免疫	免疫buff类型	毒																			
99883				毒		9883																								人物属性修饰	CharDefence	百分比修改	100																		
9009883																														人物属性修饰	CharDefence	百分比修改	100																		
99882																							技能命中							移除BUFF组	9881																				
99881						9881																																													
99880									携带某ID基因时	99870																				人物属性修饰	CharDefence	百分比修改	100																		
99879									携带某类型基因时	冰																				人物属性修饰	CharDefence	百分比修改	100																		
99878									不存在某ID基因时	99870																				人物属性修饰	CharDefence	百分比修改	100																		
99877									不存在某类型基因时	冰																				人物属性修饰	CharDefence	百分比修改	100																		
99876																																				获得BUFF	99877														
99875																																				获得BUFF	99877														
99870				冰																																															
99871														时间更新,次数叠加		10							叠加到指定层数	10						获得BUFF	99870																				
99871																							叠加到指定层数	10						移除BUFF	99871																				
99869									不存在某ID基因时	99870													EOT触发	立即触发				500		如果没有buff则添加	99868																				
99869																							翻滚							获得BUFF	99868																				
99868								2000						时间更新,次数不变																						获得BUFF	99871														
99861									不存在某ID基因时	99870		1											EOT触发	立即触发				500		如果没有buff则添加	99862																				
99861												1											EOT触发	立即触发				500		如果没有buff则添加	99863																				
99861																							翻滚							获得BUFF	99862																				
99862								2000						时间更新,次数不变																						获得BUFF	99870														
99862																																				移除BUFF	99863														
99863								4000																												获得BUFF	99870														
99863																																				移除BUFF	99862														
99860																							EOT触发	立即触发				1000		减少指定buff层数	99871																				
99860																							EOT触发	立即触发				1000		获得BUFF	99859																				
99860																														指定buff效果免疫	99869																				
99860																							EOT触发	立即触发				1000		移除BUFF	99868																				
99860																														指定buff效果免疫	99861																				
99860																							EOT触发	立即触发				1000		移除BUFF	99862																				
99860																							EOT触发	立即触发				1000		移除BUFF	99863																				
99859								1500						时间更新,次数叠加		5							叠加到指定层数	5						移除BUFF	99870																				
99859																							叠加到指定层数	5						移除BUFF	99859																				
99858																							翻滚							获得BUFF	60005																				
99858																							被击中时							获得BUFF	60005																				
99857																							EOT触发	立即触发				1000		圆形范围内增加怪物仇恨值	10	100	60010																		
99856																							EOT触发	立即触发				1000		光环	10	10007																			
99855																																				客户端爆炸	92														
99855																																				服务器爆炸	92														
99854																														广域化+1	10	60																			
99853																															50002																				
99851																							被击中时		50					获得BUFF	99870																				
99851																							技能施放		50					获得BUFF	99870																				
99851																							使用道具后							获得BUFF	99903																				
99850																							EOT触发	立即触发				1000		获得BUFF	99849																				
99850																							EOT触发	立即触发				1000		获得BUFF	99848																				
99850																							暴击时							获得BUFF	99849																				
99849								10000						时间更新,次数不变																						获得BUFF	99848														
99848																							命中时			1				伤害中间结果修饰	会心率	值修改	1000																		
99847																							命中指定种属的怪物	1						伤害结果部位修饰	失衡值	值修改	10																		
99846									在指定关卡组内	100101																				伤害结果部位修饰	失衡值	值修改	10																		
99845									捕获怪物																					关卡奖励修饰	固定物品数量	百分比修改	10																		
99845																														人物属性修饰	CharDefence	百分比修改	100																		
99844																							刺杀							伤害结果部位修饰	失衡值	值修改	10																		
99844																							刺杀							增加目标仇恨值	10																				
99843									子弹可用	PlayerAtk																				人物属性修饰	CharDefence	百分比修改	100																		
99842																														人物属性修饰	CharDefence	百分比修改	100																		
99841																														人物属性修饰	CharDefence	百分比修改	100																		
99841																							命中时			2																									
99840																														指定素材获得概率修饰	1001	10																			
99839																														指定种类素材获得概率修饰	1	10																			
99838																							暴击时							获得BUFF	99849																				
99837																							EOT触发	立即触发				1000		如果没有buff则添加	90000																				
99836																							复活时							逆境	99835 99834																				
99835																					1									人物属性修饰	CharDefence	百分比修改	100																		
99834																					1									人物属性修饰	CharDefence	百分比修改	200																		
99833																							造成伤害时							伤害结果部位修饰	失衡值	值修改	10																		
99832																							EOT触发	立即触发				1000		部位爆炸																					
99831									当耐力处于某区间时	60	90																			人物属性修饰	CharDefence	百分比修改	100																		
99830									当发射完美子弹后																					人物属性修饰	CharDefence	百分比修改																			
99829									当装载完美子弹后																					人物属性修饰	CharDefence	百分比修改																			
99828																							最优射程内							伤害结果部位修饰	失衡值	值修改	10																		
99827																							指定技能施放	910000001						获得BUFF	90000																				
99827																							指定技能结束	910000001						移除BUFF	90000																				
99826																														标识最弱属性	99825 99824 99823 99822 99821																				
99825																																																			
99824																																																			
99823																																																			
99822																																																			
99821																																																			
99820																														连击修正	3	-10	99	-30																	
99819																														连击修正	1	-20																			
99818									当HP处于某百分比区间时	100	100																			人物属性修饰	CharDefence	百分比修改	100																		
99817																							技能命中时							伤害结果部位修饰	失衡值	值修改	10																		
99817																							下N招内			1																									
99816																							技能命中时							伤害中间结果修饰	会心率	值修改	1000																		
99816																							下N招内			1																									
99815																														人物属性修饰	CharDefence	百分比修改	100																		
99815																							下N招内			1																									
99814																							技能命中时			1				伤害结果部位修饰	失衡值	值修改	10																		
99813																														人物属性修饰	CharDefence	百分比修改	100																		
99813																							下N次命中			1																									
99812																														免疫	免疫指定buff	90000																			
99812																							buff免疫时	90000		1				增加怒气	10000																				
99811																														免疫	免疫状态	吼叫																			
99811																														免疫	免疫指定buff	60004																			
99811																							异常状态免疫时	吼叫		1				增加怒气	10000																				
99810																														改变部位肉质	百分比修改	100																			
99809																														改变部位肉质	百分比修改	100	火																		
99808																														改变部位肉质	百分比修改	100		head																	
99807																														改变部位肉质	百分比修改	100	火	head																	
99806																														改变全身肉质	百分比修改	100																			
99805																														改变全身肉质	百分比修改	100	火																		
99804								3000						时间更新,次数叠加		99							EOT触发	立即触发				1000		固定宠物扣血	10																				
99803								3000						时间更新,次数叠加		99							EOT触发	立即触发				1000		固定宠物百分比扣血	10																				
99802																														被伤害结果部位修饰	失衡值	百分比修改	10																		
99801																							被伤害结果修饰							被伤害结果部位修饰	失衡值	值修改	10																		
99800																														耐力消耗修饰	值修改	10																			
99799																														耐力消耗免疫																					
99798																														指定buff时间修饰	值修改	10000	90000																		
99797																														指定类型buff时间修饰	百分比修改	100	毒																		
99796																														指定组buff时间修饰	百分比修改	100	90000																		
99795									气刃槽满																					人物属性修饰	CharDefence	百分比修改	100																		
99794									当HP处于某百分比区间时	0	40																			人物属性修饰	CharDefence	百分比修改	100																		
99793																														改变倒地阈值	百分比修改	100																			
99792																														改变倒地阈值	百分比修改	100	head																		
99791																														改变破坏阈值	百分比修改	100																			
99790																														改变破坏阈值	百分比修改	100	head																		
99789																														改变失衡阈值	百分比修改	100																			
99788																														改变失衡阈值	百分比修改	100	head																		
99787									鬼人化状态																					人物属性修饰	CharDefence	百分比修改	100																		
99786																														劲力槽增加修饰	百分比修改	100																			
99785																														广域化+3	10	19999																			
99784																														斩味消耗修饰	百分比修改	-20																			
99783																														怪物积蓄值锁定	气绝值																				
99782																														怪物指定部位积蓄值锁定	失衡值	tail																			
99781																														怪物命中部位积蓄值锁定	失衡值	tail																			
99780																														子弹消耗修饰	值修改	-1																			
99779							0	0	弓槽满																					蓄力速度修饰	百分比修改	-90																			
99778							0	0	当发射多发完美子弹后																					给子弹上buff	14409																				
99777							0	0															无敌生效时			1				增加怒气	10000																				
99776									怒气满																					人物属性修饰	CharDefence	百分比修改	100																		
99775																							进入红斩							获得BUFF	99774																				
99775																							离开红斩							移除BUFF	99774																				
99775																							离开红斩							移除BUFF	99773																				
99774								3000																												获得BUFF	99773														
99773																							指定技能施放	910000001		1				获得BUFF	99774																				
99772																							当受到指定的受创等级时	1 3 5						获得BUFF	90000																				
99771																							当受到的受创等级大于等于指定值时	3						获得BUFF	90000																				
99770																							当受到的受创等级小于等于指定值时	3						获得BUFF	90000																				
99769																							离开鬼人化状态时							获得BUFF	90000																				
99768																							离开强化状态时							获得BUFF	90000																				
99767																							死亡时							获得BUFF	90000																				
99699																							技能命中时			1				生成采集点	2003																				
99698																														动作提前结束																					
99697																														给放置物件上buff	14409	11																			
99696																														武器招式全开																					
99711							1		施放指定技能组	203													命中气绝状态的目标							伤害结果修饰	伤害	百分比修改	15																		
99711							1		施放指定技能组	204													命中气绝状态的目标																												
99712							1		施放指定技能组	203													命中带气绝的部位							伤害结果修饰	伤害	百分比修改	5																		
99712							1		施放指定技能组	204													命中带气绝的部位																												
99713							1		当发射完美子弹后			1																		给子弹上buff	16010509																				
99713							1		施放指定技能组	35005		1																																							
99714							1		当发射完美子弹后			1																		给子弹上buff	16010513																				
99714							1		施放指定技能组	35003		1																																							
99695								10000																																											
99694																														吸血	10	20																			
99693																														伤害结果修饰	伤害	值修改	10																		
99693																														伤害结果部位修饰	破坏值	值修改	10																		
99693																														伤害结果部位修饰	失衡值	百分比修改	100																		
99693																														伤害结果部位修饰	倒地值	百分比修改	100																		
99692																														被伤害结果修饰	伤害	值修改	10																		
99692																														被伤害结果部位修饰	破坏值	值修改	10																		
99692																														被伤害结果部位修饰	失衡值	百分比修改	100																		
99692																														被伤害结果部位修饰	倒地值	百分比修改	100																		
99691																														染色球	高级																				
90000				毒		100 90000		3000																						人物属性修饰	CharDefence	百分比修改	100																		
90001																						1								教官身份											buff12		我是教官								
90002						1405001		5000													1	1								异常状态	气绝										buff109										
90002						1405001																								友方攻击解除																					
90002						1405001																	EOT触发	立即触发				99999999		离开鬼人化																					
90002						1405001		5000																						人物属性修饰	AttackLevelDef	值修改	13																		
#============End of sheet============

#============Begin of sheet============
@Sheet=状态buff18
基因ID	name	type	增益标志	基因类型1	基因类型2	group	是否被动Buff	持续时间	有效状态	状态参数1	状态参数2	生效状态	有效地区	叠加类别	叠加类型	叠加上限	部位叠加	互斥标志	互斥优先级	下线保留	死亡清除	离开副本清除	触发条件	触发参数	触发几率	触发次数	触发特效	触发CD	CD组	效果类型	效果参数1	效果参数2	效果参数3	效果参数4	打断是否生效	结束时效果类型	结束时效果参数1	结束时效果参数2	结束时效果参数3	结束时效果参数4	Icon	Icon显示信息	基因tips	开启特效	开启提示	关闭特效	关闭提示	中断特效	中断提示	音效	异常受击状态Flag
60001				防御无音效				1000										60002	3		1	1								异常状态	风压	20																			
60001																		60002	3											友方攻击解除																					
60001																		60002	3				EOT触发	立即触发				99999999		离开鬼人化																					
60001																		60002	3				EOT触发	立即触发				99999999		结束吹奏																					
60002				防御无音效				1740										60002	1		1	1								异常状态	龙风压	20																			
60002																		60002	1											友方攻击解除																					
60002																		60002	1				EOT触发	立即触发				99999999		离开鬼人化																					
60002																		60002	1				EOT触发	立即触发				99999999		结束吹奏																					
60003				防御无音效				2000													1	1								异常状态	震动	20																			
60003																														友方攻击解除																					
60003																							EOT触发	立即触发				99999999		离开鬼人化																					
60003																							EOT触发	立即触发				99999999		结束吹奏																					
60004				防御无音效				1600										60015	2		1	1								异常状态	吼叫	20																			
60004																		60015	2											友方攻击解除																					
60004																		60015	2				EOT触发	立即触发				99999999		离开鬼人化																					
60004																		60015	2				EOT触发	立即触发				99999999		结束吹奏																					
60005				麻		1405004		5000													1	1								异常状态	麻痹	20									buff100										1
60005						1405004																								友方攻击解除																					
60005						1405004																	EOT触发	立即触发				99999999		离开鬼人化																					
60005						1405004																	EOT触发	立即触发				99999999		结束吹奏																					
60006						1405003		10000													1	1								异常状态	眠	20									buff95										
60006						1405003																								友方攻击解除																					
60006						1405003																	EOT触发	立即触发				99999999		离开鬼人化																					
60006						1405003																	EOT触发	立即触发				99999999		结束吹奏																					
60007	泥人							10000													1	1								异常状态	雪人	20									buff73			22		23		23			1
60007	泥人																													友方攻击解除																					
60007	泥人																						EOT触发	立即触发				99999999		离开鬼人化																					
60007	泥人																						EOT触发	立即触发				99999999		结束吹奏																					
60007	泥人																													不能使用道具	1																				
60007	泥人																													不能使用道具	2																				
60007	泥人																													不能使用道具	3																				
60007	泥人																													不能使用道具	4																				
60007	泥人																													不能使用道具	5																				
60007	泥人																													不能使用道具	6																				
60007	泥人																													不能使用道具	11																				
60008								15000													1	1								异常状态	疲惫	20																			
60008																														友方攻击解除																					
60008																							EOT触发	立即触发				99999999		离开鬼人化																					
60008																							EOT触发	立即触发				99999999		结束吹奏																					
60009				防御无音效		1405001		5000										19181	1		1	1								异常状态	气绝										buff109										
60009						1405001												19181	1											友方攻击解除																					
60009						1405001												19181	1				EOT触发	立即触发				99999999		离开鬼人化																					
60009						1405001												19181	1				EOT触发	立即触发				99999999		结束吹奏																					
60010								2000													1	1								异常状态	风压	20												44							
60010																														友方攻击解除																					
60010																							EOT触发	立即触发				99999999		离开鬼人化																					
60010																							EOT触发	立即触发				99999999		结束吹奏																					
60011	缠绕							10000													1	1								异常状态	束缚	20									buff82			51 261 262		-1		53			
60011	缠绕																													友方攻击解除											buff82										
60011	缠绕																						EOT触发	立即触发				99999999		离开鬼人化											buff82										
60011	缠绕																						EOT触发	立即触发				99999999		结束吹奏											buff82										
60011	缠绕																						异常状态时间结束时							播放特效	53																				
60011	缠绕																						异常状态时间结束时							播放特效	51	1																			
60011	缠绕																						异常状态时间结束时							播放特效	261	1																			
60011	缠绕																						异常状态时间结束时							播放特效	262	1																			
60012				防御无音效				4000													1	1								异常状态	吼叫	20																			
60012																														友方攻击解除																					
60012																							EOT触发	立即触发				99999999		离开鬼人化																					
60012																							EOT触发	立即触发				99999999		结束吹奏																					
60013								1000														1								异常状态	惊吓	20																			
60013																														友方攻击解除																					
60013																							EOT触发	立即触发				99999999		离开鬼人化																					
60013																							EOT触发	立即触发				99999999		结束吹奏																					
60014				搬运				0													1	1								异常状态	搬运	20											你正在搬运中。翻滚及被攻击都会被打断哦！	64	6416	0	6417	61	6417		
60015				防御无音效				1500										60015	1		1	1								异常状态	吼叫																				
60015																		60015	1											友方攻击解除																					
60015																		60015	1				EOT触发	立即触发				99999999		离开鬼人化																					
60015																		60015	1				EOT触发	立即触发				99999999		结束吹奏																					
60016								3000													1	1								异常状态	雾霾																				
60016																														友方攻击解除																					
60016																							EOT触发	立即触发				99999999		离开鬼人化																					
60016																							EOT触发	立即触发				99999999		结束吹奏																					
60017								1100													1	1								异常状态	陷落																				
60017																														友方攻击解除																					
60017																							EOT触发	立即触发				99999999		离开鬼人化																					
60017																							EOT触发	立即触发				99999999		结束吹奏																					
60018								6500													1	1								异常状态	饿鬼																				
60018																														友方攻击解除																					
60018																							EOT触发	立即触发				99999999		离开鬼人化																					
60018																							EOT触发	立即触发				99999999		结束吹奏																					
60019	雪人							10000													1	1								异常状态	雪人	20									buff74			204		205		205			1
60019	雪人																													友方攻击解除																					
60019	雪人																						EOT触发	立即触发				99999999		离开鬼人化																					
60019	雪人																						EOT触发	立即触发				99999999		结束吹奏																					
60019	雪人																													不能使用道具	1																				
60019	雪人																													不能使用道具	2																				
60019	雪人																													不能使用道具	3																				
60019	雪人																													不能使用道具	4																				
60019	雪人																													不能使用道具	5																				
60019	雪人																													不能使用道具	6																				
60019	雪人																													不能使用道具	11																				
60020	搬运中			搬运				0													1	1								异常状态	搬运	20											你正在搬运中。翻滚及被攻击都会被打断哦！	64	6416	0	6417	61	6417		
60021	搬运中			搬运				0													1	1								异常状态	搬运	20											你正在搬运中。翻滚及被攻击都会被打断哦！	62	6416	0	6417	61	6417		
60022				防御无音效				2000										60002	2		1	1								异常状态	风压	20																			
60022																		60002	2											友方攻击解除																					
60022																		60002	2				EOT触发	立即触发				99999999		离开鬼人化																					
60022																		60002	2				EOT触发	立即触发				99999999		结束吹奏																					
60023	冰结							10000													1	1								异常状态	束缚	20									buff85			250		-1		251			
60023	冰结																													友方攻击解除																					
60023	冰结																						EOT触发	立即触发				99999999		离开鬼人化																					
60023	冰结																						EOT触发	立即触发				99999999		结束吹奏																					
60023	冰结																						异常状态时间结束时							播放特效	251																				
60023	冰结																						异常状态时间结束时							播放特效	250	1																			
60024	搬运爆桶奇面族			搬运				0						时间更新,次数不变		1					1	1								异常状态	搬运	20			1	移除BUFF	15000000						你正在搬运中。翻滚及被攻击都会被打断哦！	72	7605	-1		-1			
60024	搬运爆桶奇面族							0													1	1								人物属性修饰	CharSpeed	百分比修改	-20		1																
60024	搬运爆桶奇面族							0													1	1													2	服务器爆炸	1114														
60024	搬运爆桶奇面族							0													1	1													2	客户端爆炸	1114														
60024	搬运爆桶奇面族							0													1	1													2	播放特效	266														
69999								3000													1	1								异常状态	风压	20																			
69999																														友方攻击解除																					
69999																					1	1								人物属性修饰	CharDefence	百分比修改	100																		
60025	缠绕							5000													1	1								异常状态	束缚	10									buff82			264		-1		265			
60025	缠绕																													友方攻击解除											buff82										
60025	缠绕																						EOT触发	立即触发				99999999		离开鬼人化											buff82										
60025	缠绕																						EOT触发	立即触发				99999999		结束吹奏											buff82										
60025	缠绕																						异常状态时间结束时							播放特效	265																				
60025	缠绕																						异常状态时间结束时							播放特效	264	1																			
60026	击落							3000													1	1								异常状态	击落	10				移除BUFF	19123														1
60026	击落							3000													1	1	EOT触发	立即触发				99999999		获得BUFF	19123																				
60027	幻乱							16000						时间更新,次数不变							1	1								天旋地转											buff107		吸入眠气瓦斯，一定时间内方向颠倒，天旋地转	269							
60028	沙人							15000													1	1								异常状态	雪人	20									buff82			264		265		265			1
60028	沙人																													友方攻击解除																					
60028	沙人																						EOT触发	立即触发				99999999		离开鬼人化																					
60028	沙人																						EOT触发	立即触发				99999999		结束吹奏																					
60028	沙人																													不能使用道具	1																				
60028	沙人																													不能使用道具	2																				
60028	沙人																													不能使用道具	3																				
60028	沙人																													不能使用道具	4																				
60028	沙人																													不能使用道具	5																				
60028	沙人																													不能使用道具	6																				
60028	沙人																													不能使用道具	11																				
60030	吸气							6000													1	1								异常状态	吸气										buff109										
60030	吸气																						EOT触发	立即触发				99999999		离开鬼人化																					
60030	吸气																						EOT触发	立即触发				99999999		结束吹奏																					
